epoch,lr,c1_loss,boundary_loss,weighted_boundary_loss,total_loss,acc,macro_f1,bacc,macro_auc,weighted_f1,loss_AD_SMCI_MRI,loss_AD_SMCI_PET,loss_AD_SMCI_CSF,loss_AD_SMCI_Risk,loss_AD_SMCI_COG,loss_AD_SMCI_ROI,loss_CN_SMCI_MRI,loss_CN_SMCI_PET,loss_CN_SMCI_CSF,loss_CN_SMCI_Risk,loss_CN_SMCI_COG,loss_CN_SMCI_ROI
1,0.01,3.2923636436462402,0.7237721681594849,0.18094304203987122,3.473306655883789,0.3559322033898305,0.17500000000000002,0.3333333333333333,0.8587712042720531,0.186864406779661,0.6925654411315918,0.8112819194793701,0.6116842031478882,0.796126663684845,0.5886076092720032,0.6424480676651001,0.7278867363929749,0.734553337097168,0.7391477823257446,1.0000598430633545,0.6349379420280457,0.7059664130210876
2,0.01,3.0779831409454346,0.8238022327423096,0.2059505581855774,3.283933639526367,0.3559322033898305,0.17500000000000002,0.3333333333333333,0.5395680060365969,0.186864406779661,0.941295325756073,1.1311677694320679,0.586531937122345,0.8749925494194031,0.2995150089263916,0.5412976145744324,1.092233419418335,1.3164275884628296,0.7701973915100098,0.988744854927063,0.5139054656028748,0.8293176889419556
3,0.01,5.714137077331543,0.6055135130882263,0.15137837827205658,5.865515232086182,0.3898305084745763,0.20175438596491227,0.24731182795698925,0.5004607258427293,0.31801962533452277,0.5489564538002014,0.8046256899833679,0.5315616130828857,0.6255388259887695,0.22012460231781006,0.41682660579681396,0.711175799369812,0.7901923656463623,0.6733999252319336,0.8571310639381409,0.42286598682403564,0.6637625694274902
4,0.01,4.995673179626465,0.5985601544380188,0.1496400386095047,5.145313262939453,0.4406779661016949,0.21940928270042193,0.2795698924731183,0.5351794498653581,0.34584853035829216,0.45949649810791016,0.5128446817398071,0.5658637881278992,0.6223932504653931,0.19170746207237244,0.36856982111930847,0.6710959672927856,1.1202211380004883,0.7649163007736206,0.7414681911468506,0.4918813705444336,0.6722632646560669
5,0.01,3.7921361923217773,0.6021829843521118,0.15054574608802795,3.9426820278167725,0.559322033898305,0.4602941176470588,0.576036866359447,0.6404529727959268,0.4384097706879362,0.49377864599227905,0.5656599998474121,0.5910210013389587,0.6516071557998657,0.1803033947944641,0.3835486173629761,0.7140308022499084,0.9922336339950562,0.8172467350959778,0.6608576774597168,0.45890742540359497,0.7170003056526184
6,0.01,4.836618423461914,0.530797004699707,0.13269925117492676,4.969317436218262,0.559322033898305,0.4602941176470588,0.576036866359447,0.7659631916847537,0.4384097706879362,0.35907620191574097,0.48938271403312683,0.5620330572128296,0.5873067378997803,0.1650000512599945,0.3945365846157074,0.6654222011566162,0.6998654007911682,0.7350859642028809,0.6769331097602844,0.37933340668678284,0.6555888056755066
7,0.01,2.8443546295166016,0.5235418677330017,0.13088546693325043,2.9752399921417236,0.5932203389830508,0.5024390243902439,0.597542242703533,0.7583091309746658,0.4665564282761472,0.4168251156806946,0.4210585355758667,0.5315539836883545,0.5610210299491882,0.15791621804237366,0.38463062047958374,0.6735988855361938,0.6512205004692078,0.6903544068336487,0.7470724582672119,0.4257928133010864,0.6214578151702881
8,0.01,5.452409744262695,0.5224282741546631,0.13060706853866577,5.583016872406006,0.576271186440678,0.4710269650028686,0.5499231950844854,0.7545030898171815,0.45190933224423113,0.3876088261604309,0.424574077129364,0.5180263519287109,0.5568447113037109,0.15225458145141602,0.3624902367591858,0.6612644195556641,0.748000979423523,0.6962541341781616,0.7102985382080078,0.4230285882949829,0.6284939646720886
9,0.01,3.587843179702759,0.5306202173233032,0.1326550543308258,3.7204983234405518,0.5932203389830508,0.5024390243902439,0.597542242703533,0.7584495772101884,0.4665564282761472,0.35210981965065,0.4713614284992218,0.5304161310195923,0.5560824871063232,0.15051153302192688,0.36564576625823975,0.6570001840591431,0.8327467441558838,0.7359220385551453,0.6624351739883423,0.39897382259368896,0.6542378664016724
10,0.01,3.1047537326812744,0.5269733667373657,0.13174334168434143,3.236497163772583,0.576271186440678,0.48045267489711935,0.58678955453149,0.7721257237386269,0.45223896212596776,0.31751933693885803,0.5015916228294373,0.5451960563659668,0.5510152578353882,0.15111656486988068,0.37720683217048645,0.640464186668396,0.8260548114776611,0.7633106708526611,0.6320810914039612,0.35317930579185486,0.6649438142776489
