trial_id,stage,status,parent_stage_a_trial_id,rank,base_lr,base_weight_decay,lambda_aux,adapter_lr_multiplier,dropout_multiplier,correct,acc,macro_f1,bacc,macro_auc,weighted_f1,ad_smci_errors,cn_smci_errors,ad_cn_errors,protected,parameters,training_seconds
A012,A,complete,,8,0.011271416075886307,0.0010917677921787822,0.5,2.0,1.1,562,0.939799331103679,0.9294205448780151,0.9286299264715336,0.961524845528226,0.9397414920986079,15,21,0,True,862971,418.59901700075716
A007,A,complete,,8,0.009954297170728382,0.001118618078176869,0.75,1.0,1.1,560,0.9364548494983278,0.9169142032505032,0.9127578289955842,0.9631938876417131,0.9362151012851758,21,17,0,True,862971,422.2452336004935
A001,A,complete,,8,0.012999364576824633,0.0008333048722803924,1.0,1.0,1.1,557,0.931438127090301,0.9209428991694334,0.9165339682731348,0.9591818004416979,0.9313710053165415,16,25,0,True,862971,429.216892499011
A022,A,complete,,8,0.009578967357949162,0.0006792737441196888,0.75,1.5,1.1,557,0.931438127090301,0.9214566404619086,0.9211988164337491,0.9554593435011584,0.9314419856946191,16,25,0,True,862971,420.87544209929183
A013,A,complete,,8,0.010682365296333124,0.0007446171998489365,0.25,1.0,1.1,557,0.931438127090301,0.9227468959611816,0.9206554448128413,0.9540847365378072,0.9314073557832517,15,26,0,True,862971,411.01483770040795
A016,A,complete,,8,0.010117597037912152,0.0008895453658310538,0.25,0.5,1.0,555,0.9280936454849499,0.9160383861397622,0.9078180806347832,0.9592325082253966,0.9278704581871108,17,26,0,False,862971,405.90139180002734
A004,A,complete,,8,0.010925774696611561,0.0003572813253703121,1.0,0.5,0.9,554,0.9264214046822743,0.9128714201511684,0.9037318226260614,0.9638582119822611,0.926111949251127,18,26,0,False,862971,429.3149314997718
A023,A,complete,,8,0.01069133499340664,0.0009859272459773758,0.75,1.5,1.0,554,0.9264214046822743,0.913204282652416,0.9144661373824582,0.9619206211936119,0.9264808381642052,19,25,0,True,862971,417.82457649940625
A019,A,complete,,8,0.009705174700007311,0.0008745888025368414,0.25,1.5,1.0,553,0.9247491638795987,0.9085710265532976,0.9010501830525075,0.9583666357717894,0.9245260539009506,19,25,1,False,862971,415.59179829992354
A010,A,complete,,8,0.009493225876310428,0.0011553792084187206,1.0,1.0,1.1,553,0.9247491638795987,0.9129410689603966,0.9026802979152307,0.9488821508532421,0.9244287900256719,17,28,0,False,862971,410.4554716995917
A021,A,complete,,8,0.009208590799445818,0.0006994181696565131,0.5,1.5,1.1,552,0.9230769230769231,0.9117556120929434,0.9107329730980736,0.9568869890499528,0.9230918644255455,18,28,0,False,862971,428.9493440007791
A011,A,complete,,8,0.008928619791215137,0.000980462752203792,0.5,1.5,0.9,552,0.9230769230769231,0.9119769335601551,0.9024900200186602,0.9545233419455382,0.9228671079412882,17,29,0,False,862971,409.72541359998286
A015,A,complete,,8,0.010003819887507877,0.0009556745109310044,1.0,1.5,1.0,552,0.9230769230769231,0.9138233934350439,0.9060681249374593,0.9448960579154377,0.9229266301448658,16,30,0,False,862971,419.0862424010411
A002,A,complete,,8,0.00813065926787048,0.0009436201773735912,0.25,2.0,1.0,551,0.9214046822742475,0.9044093904777878,0.8989471336308461,0.958604250726085,0.9212157857401188,19,26,2,False,862971,437.2269881987013
A003,A,complete,,8,0.008221537804149586,0.001028432427314339,1.0,2.0,1.1,550,0.919732441471572,0.9138539845785223,0.9146993902721946,0.9475626099383788,0.9197456834909875,15,33,0,True,862971,436.2865644004196
A017,A,complete,,8,0.008092580568139527,0.0003508818750106552,0.25,1.5,0.9,549,0.9180602006688964,0.9098686167668956,0.9023701791840594,0.9590551749481836,0.9179173821018253,16,33,0,False,862971,402.6225394993089
A006,A,complete,,8,0.009156469125045266,0.0005553045510386114,0.75,1.5,0.9,548,0.9163879598662207,0.901049853107576,0.8963359311192617,0.9503962649017935,0.9162183334019045,21,29,0,False,862971,428.47763980040327
A014,A,complete,,8,0.008601782674917216,0.0006444801680279886,1.0,1.0,1.0,547,0.9147157190635451,0.9002737750849903,0.889532815006001,0.9526887393558892,0.9144039998061825,20,31,0,False,862971,423.842635600362
A020,A,complete,,8,0.008409739783546435,0.0003768984665775654,0.5,1.5,0.9,546,0.9130434782608695,0.9059991548847378,0.909949919807964,0.9610543207582473,0.9131220123138106,17,35,0,False,862971,427.8218054007739
A008,A,complete,,8,0.008305391183909829,0.00036004970674397637,0.75,0.5,1.0,545,0.9113712374581939,0.9013666259804437,0.8934992321801221,0.9492342875998773,0.911198564547446,18,35,0,False,862971,428.09625879954547
A005,A,complete,,8,0.008434008826449563,0.0009590415190217799,1.0,0.5,0.9,544,0.9096989966555183,0.8995587548779037,0.8992860421135367,0.9490036967593999,0.9096471465787626,19,35,0,False,862971,436.7340738005005
A000,A,complete,,8,0.01091770674708269,0.0003143871484026444,0.75,1.0,0.9,543,0.9080267558528428,0.8982351739459586,0.8878180778396617,0.9472707719658079,0.9077821353778026,18,37,0,False,862971,433.8275909991935
A009,A,complete,,8,0.008127020991687738,0.0007579417572345449,0.75,1.5,1.1,543,0.9080267558528428,0.8919837841731394,0.8844654693484181,0.9457378582268018,0.9076255546455549,22,33,0,False,862971,430.0576355000958
A018,A,complete,,8,0.008711147812881796,0.0005894904371866145,0.5,1.5,1.1,543,0.9080267558528428,0.8858462965605822,0.8839220977275103,0.9445576736302361,0.9079729097944577,27,28,0,False,862971,425.51185829984024
