trial_id,stage,status,parent_stage_a_trial_id,rank,base_lr,base_weight_decay,lambda_aux,adapter_lr_multiplier,dropout_multiplier,correct,acc,macro_f1,bacc,macro_auc,weighted_f1,ad_smci_errors,cn_smci_errors,ad_cn_errors,protected,parameters,training_seconds
A012,A,complete,,8,0.011271416075886307,0.0010917677921787822,0.5,2.0,1.1,562,0.939799331103679,0.9294205448780151,0.9286299264715336,0.961524845528226,0.9397414920986079,15,21,0,True,862971,418.59901700075716
A007,A,complete,,8,0.009954297170728382,0.001118618078176869,0.75,1.0,1.1,560,0.9364548494983278,0.9169142032505032,0.9127578289955842,0.9631938876417131,0.9362151012851758,21,17,0,True,862971,422.2452336004935
B01R12,B,complete,A012,12,0.011271416075886307,0.0010917677921787822,0.5,2.0,1.1,559,0.9347826086956522,0.9241283043497751,0.924388609097226,0.9533509823530988,0.9347769909924953,16,23,0,True,867603,438.54503369983286
B02R04,B,complete,A007,4,0.009954297170728382,0.001118618078176869,0.75,1.0,1.1,558,0.9331103678929766,0.921968908985444,0.9263718176842866,0.9654951261759944,0.9332484955031184,17,23,0,True,858339,418.9885448999703
B02R16,B,complete,A007,16,0.009954297170728382,0.001118618078176869,0.75,1.0,1.1,557,0.931438127090301,0.9164685890441886,0.9206554448128413,0.9619444497682791,0.931752482381796,20,21,0,True,872235,432.073767199181
A001,A,complete,,8,0.012999364576824633,0.0008333048722803924,1.0,1.0,1.1,557,0.931438127090301,0.9209428991694334,0.9165339682731348,0.9591818004416979,0.9313710053165415,16,25,0,True,862971,429.216892499011
B01R04,B,complete,A012,4,0.011271416075886307,0.0010917677921787822,0.5,2.0,1.1,557,0.931438127090301,0.9219728514854993,0.9264070362152713,0.9576317425028176,0.931485745074594,16,25,0,True,858339,425.71321799978614
A022,A,complete,,8,0.009578967357949162,0.0006792737441196888,0.75,1.5,1.1,557,0.931438127090301,0.9214566404619086,0.9211988164337491,0.9554593435011584,0.9314419856946191,16,25,0,True,862971,420.87544209929183
A013,A,complete,,8,0.010682365296333124,0.0007446171998489365,0.25,1.0,1.1,557,0.931438127090301,0.9227468959611816,0.9206554448128413,0.9540847365378072,0.9314073557832517,15,26,0,True,862971,411.01483770040795
B02R12,B,complete,A007,12,0.009954297170728382,0.001118618078176869,0.75,1.0,1.1,556,0.9297658862876255,0.906557114451025,0.9019388919355714,0.9513102273115094,0.9293352021973492,24,18,0,False,867603,432.93162620067596
