fold,best_epoch,correct,acc,macro_f1,bacc,macro_auc,weighted_f1,elapsed_seconds
0,186,55,0.9166666666666666,0.9026701119724375,0.8792882744495647,0.9295666328480566,0.9155284852959272,47.364545800257474
1,305,56,0.9333333333333333,0.9156746031746031,0.9156746031746031,0.9602577061303476,0.9333333333333333,44.09626160003245
2,120,57,0.95,0.9602251407129456,0.9578373015873015,0.9857804232804233,0.9497748592870544,43.07694320008159
3,68,56,0.9333333333333333,0.9481915933528837,0.9528769841269842,0.9664797008547009,0.9337732160312805,42.53602179978043
4,53,55,0.9166666666666666,0.8815628815628817,0.8680555555555555,0.9618934470054753,0.9153846153846155,47.33741560019553
5,97,55,0.9166666666666666,0.8705549403223821,0.8735119047619048,0.9763664390728071,0.9161990894549032,46.16435049986467
6,86,56,0.9333333333333333,0.9297667102545152,0.910218253968254,0.9926517348392349,0.9330926526048479,45.94106849981472
7,114,54,0.9,0.8576388888888888,0.8576388888888888,0.9289464520891407,0.9,44.0432338998653
8,241,53,0.8983050847457628,0.8094829105003524,0.7880184331797234,0.9589995460114306,0.8885349105959077,42.989897599909455
9,50,55,0.9322033898305084,0.9108241670652001,0.9260752688172044,0.9920314610542315,0.9327756567695288,45.104161200113595
