fold,best_epoch,correct,acc,macro_f1,bacc,macro_auc,elapsed_seconds
0,235,53,0.8833333333333333,0.8770925492236968,0.8577828981054787,0.9381326558745915,56.7821786000859
1,136,56,0.9333333333333333,0.8944916517590936,0.8839285714285715,0.955218436350512,57.543068500002846
2,121,58,0.9666666666666667,0.9740957966764419,0.9791666666666666,0.9898949430199431,55.59532040008344
3,98,53,0.8833333333333333,0.8678929765886289,0.8308531746031745,0.9656938972976709,56.189067899947986
4,156,54,0.9,0.8680241327300151,0.8467261904761904,0.9270463769284524,57.40777930011973
5,134,56,0.9333333333333333,0.9083694083694084,0.8784722222222222,0.9862505975418712,57.2637491999194
6,107,56,0.9333333333333333,0.9325542005420054,0.9474206349206349,0.980419464794465,56.20175389992073
7,91,51,0.85,0.864957264957265,0.878968253968254,0.9397617199798803,56.941547400085256
8,53,54,0.9152542372881356,0.8899332306111968,0.9093701996927804,0.9442283334473487,55.565808000043035
9,49,56,0.9491525423728814,0.9338098094095694,0.9368279569892474,0.9859793379717479,54.78276309999637
