fold,best_epoch,acc,macro_f1,bacc,probability_macro_auc,weighted_f1,selection_macro_auc_adjusted,parameters,elapsed_seconds
0,78,0.9333333333333333,0.9155122655122655,0.8849206349206349,0.941676592677705,0.9321392496392497,0.9662904261416497,787761,50.10293579986319
1,98,0.9166666666666666,0.9026701119724375,0.9052579365079364,0.9331004479884197,0.9165866863541282,0.9420101212554042,787761,50.453621400054544
2,133,0.9166666666666666,0.93238933537441,0.9260912698412698,0.9822573260073261,0.9153272101033295,0.9745147792022792,787761,50.21463739988394
3,60,0.9166666666666666,0.9201523431031627,0.9424603174603176,0.9902301904070772,0.9166881934095049,0.9853521249452853,787761,50.849331400124356
4,288,0.8833333333333333,0.8758331099794514,0.8735119047619048,0.9496262003632286,0.8832145090681676,0.9469016254098802,787761,49.40665220003575
5,80,0.9166666666666666,0.8624338624338623,0.8735119047619048,0.9601443171608266,0.9187830687830688,0.9520510444743936,787761,49.265523000154644
6,118,0.9333333333333333,0.9474206349206349,0.9474206349206349,0.9849664224664224,0.9333333333333333,0.9857104700854702,787761,45.226588000077754
7,174,0.9,0.9067600233391682,0.9265873015873015,0.9522729628861705,0.8999116445778111,0.9517882700370909,787761,45.018424100009724
8,283,0.864406779661017,0.830005120327701,0.830005120327701,0.9411913779485936,0.864406779661017,0.9471663028539089,787761,44.96860789996572
9,115,0.9322033898305084,0.9199561403508771,0.9142473118279569,0.9703112510512891,0.9323706512042819,0.9769113766267467,787761,45.19717950001359
