fold,best_epoch,acc,macro_f1,bacc,probability_macro_auc,weighted_f1,selection_macro_auc_adjusted,parameters,elapsed_seconds
0,81,0.9333333333333333,0.9325542005420054,0.9158346134152585,0.9348214200828217,0.9332096883468834,0.962008687919422,785187,44.673624500166625
1,72,0.9,0.8685355862775217,0.8948412698412698,0.9554224765014859,0.9025537634408602,0.9430895362499135,785187,43.36553780012764
2,99,0.9333333333333333,0.9474206349206349,0.9474206349206349,0.9696403133903134,0.9333333333333333,0.9686291717541717,785187,40.4896996000316
3,199,0.9166666666666666,0.9176009176009176,0.9052579365079364,0.9801728287872157,0.9168794168794169,0.9757784962678832,785187,41.243907399941236
4,302,0.9,0.8548784548784548,0.8095238095238094,0.9087101206794603,0.8955444555444555,0.9433922068061218,785187,41.28371510002762
5,210,0.9666666666666667,0.9561278829571513,0.9365079365079364,0.9923633428940032,0.9663274394981712,0.9923633428940032,785187,43.98241590010002
6,144,0.9333333333333333,0.9325542005420054,0.9474206349206349,0.9806865588115589,0.933279132791328,0.9770712505087505,785187,45.80808989983052
7,160,0.9,0.8943292370711725,0.9265873015873015,0.9615521402078007,0.9004704301075269,0.9578668787100391,785187,46.33147540013306
8,118,0.9152542372881356,0.8901379130887328,0.9042498719918074,0.9717765256814493,0.9162545151430953,0.9762034324852662,785187,46.167302400106564
9,59,0.9661016949152542,0.9720394736842105,0.9666666666666667,0.9758379613218323,0.9657392952720785,0.9815609122060734,785187,46.064865299966186
