fold,best_epoch,acc,macro_f1,bacc,probability_macro_auc,weighted_f1,selection_macro_auc_adjusted,parameters,elapsed_seconds
0,144,0.9166666666666666,0.8789877757901013,0.8483742959549412,0.9667928809335927,0.9125204979129398,0.9350850054757173,794697,48.15944379987195
1,281,0.9,0.877819454863716,0.8948412698412698,0.9504657586909945,0.9006351587896975,0.9462550083127913,794697,46.90119359991513
2,172,0.9,0.9222873900293256,0.9265873015873015,0.9489214489214488,0.9006598240469208,0.9524477258852259,794697,50.14856999996118
3,191,0.9166666666666666,0.9169719169719169,0.8998015873015873,0.9600479665338156,0.9166666666666666,0.9535351201035164,794697,50.88647980010137
4,112,0.9,0.8807852965747703,0.8412698412698413,0.9492464373065789,0.8979991645781119,0.9539205826057241,794697,51.98736679996364
5,226,0.95,0.9287559985234403,0.9315476190476191,0.9816259474278342,0.949796973052787,0.9840756891169627,794697,52.38377559999935
6,133,0.9333333333333333,0.9481915933528837,0.9528769841269842,0.9860125407000407,0.9337732160312805,0.9807215354090354,794697,53.148644799832255
7,114,0.8833333333333333,0.8697873186245278,0.841765873015873,0.9067766287695532,0.8824219837010536,0.901908762315602,794697,52.53315919986926
8,190,0.8983050847457628,0.8883768561187916,0.8883768561187916,0.9622780068450695,0.8983050847457628,0.949178674560678,794697,48.366787699982524
9,57,0.9491525423728814,0.9378837291197771,0.967741935483871,0.9875210547411686,0.9499497465529093,0.9867530055860226,794697,49.04633929999545
