fold,best_epoch,correct,acc,macro_f1,bacc,macro_auc,elapsed_seconds
0,116,55,0.9166666666666666,0.9026701119724375,0.8792882744495647,0.9776273285380627,48.42011730000377
1,153,56,0.9333333333333333,0.9156746031746031,0.9156746031746031,0.9493232898303653,50.86177400010638
2,105,57,0.95,0.9433344433344434,0.9315476190476191,0.9571844450971808,49.33253620006144
3,159,55,0.9166666666666666,0.9161500191350939,0.8943452380952381,0.980419464794465,47.54182939999737
4,103,55,0.9166666666666666,0.8815628815628817,0.8680555555555555,0.9439963480352631,54.270377800101414
5,180,57,0.95,0.9174603174603174,0.9315476190476191,0.9825499775381852,48.618795699905604
6,332,58,0.9666666666666667,0.9737103174603176,0.9737103174603176,0.995732855107855,46.74385809991509
7,181,56,0.9333333333333333,0.9156746031746031,0.9156746031746031,0.9628150173551117,45.5770917001646
8,90,55,0.9322033898305084,0.8944444444444445,0.9201228878648234,0.95822994210091,46.39894340001047
9,181,56,0.9491525423728814,0.9247830279652844,0.9368279569892474,0.9753508930453902,47.75207300018519
