fold,best_epoch,correct,acc,macro_f1,bacc,macro_auc,elapsed_seconds
0,78,54,0.9,0.877819454863716,0.8685355862775217,0.9537768613477735,50.2241776001174
1,51,53,0.8833333333333333,0.8557368557368558,0.8472222222222222,0.9465655381044531,51.95170920016244
2,75,56,0.9333333333333333,0.9464646464646465,0.9419642857142857,0.9847565628815628,50.691996600013226
3,106,55,0.9166666666666666,0.9347852836224929,0.9370039682539683,0.9621521418396419,51.63672160007991
4,226,55,0.9166666666666666,0.8951785786514582,0.8625992063492064,0.9611520391296334,51.534201100002974
5,132,54,0.9,0.877819454863716,0.8948412698412698,0.9738330655193863,49.00721740000881
6,168,57,0.95,0.9602251407129456,0.9578373015873015,0.9915356634106635,49.7319731998723
7,224,56,0.9333333333333333,0.9209549411162313,0.9528769841269842,0.9628081180262784,49.775157999945804
8,166,54,0.9152542372881356,0.8675768675768675,0.8305171530977983,0.9684016700145732,49.77143560000695
9,58,56,0.9491525423728814,0.933913308913309,0.9309139784946238,0.9964515086431595,50.707256000023335
