fold,best_epoch,correct,acc,macro_f1,bacc,macro_auc,weighted_f1,elapsed_seconds
0,92,57,0.95,0.9287559985234403,0.9059139784946236,0.9758626886338232,0.9482096714654854,50.70583000010811
1,160,57,0.95,0.9287559985234403,0.9315476190476191,0.9595060392525016,0.949796973052787,49.577472999924794
2,198,57,0.95,0.9602251407129456,0.9578373015873015,0.9708040801790802,0.9497748592870544,49.09043350000866
3,86,55,0.9166666666666666,0.8946488294314382,0.8571428571428571,0.9802709792391395,0.9149851356373095,48.541922400007024
4,196,54,0.9,0.8773892773892774,0.8839285714285715,0.9397368224019168,0.9012587412587413,51.53477709996514
5,94,55,0.9166666666666666,0.9026701119724375,0.9052579365079364,0.9734473630405235,0.9165866863541282,49.947071800008416
6,143,57,0.95,0.9594336012246459,0.9523809523809524,0.9778152981277981,0.9491963260619978,50.222815700108185
7,135,53,0.8833333333333333,0.8541727786579045,0.8308531746031745,0.9663739311439784,0.8821285376205286,50.166831500129774
8,82,55,0.9322033898305084,0.8944444444444445,0.9201228878648234,0.9602386860451376,0.935310734463277,49.1419929000549
9,87,57,0.9661016949152542,0.9588141025641025,0.9416666666666668,0.9940117651692605,0.9658490873533245,49.7170309999492
