fold,best_epoch,acc,macro_f1,bacc,macro_auc,weighted_f1,final_tau1,final_tau2,elapsed_seconds
0,71,0.9,0.8898198575617929,0.8685355862775217,0.9264372088690777,0.8991341991341991,-0.46015262603759766,2.0352423191070557,49.49226440000348
1,59,0.9166666666666666,0.9023496828374876,0.8998015873015873,0.9444110876893896,0.9166979362101313,-0.43834906816482544,2.1965904235839844,49.896623600041494
2,291,0.95,0.9460317460317459,0.9632936507936508,0.9945118538868538,0.9501587301587301,-0.4358491897583008,2.193547248840332,51.21116299997084
3,49,0.9666666666666667,0.9737103174603176,0.9737103174603176,0.9927216880341879,0.9666666666666667,-0.4406077563762665,2.0899171829223633,49.680621600011364
4,82,0.9,0.8816993464052287,0.8467261904761904,0.9421568069858165,0.8984967320261438,-0.45285478234291077,2.1172971725463867,49.74918729998171
5,66,0.95,0.9431013431013432,0.9260912698412698,0.9703731421007364,0.9497435897435896,-0.48379403352737427,2.0609889030456543,49.95629299990833
6,392,0.9166666666666666,0.9337085678549094,0.9315476190476191,0.9743271774521775,0.9162914321450907,-0.4763129651546478,2.0566675662994385,49.75192359997891
7,164,0.9166666666666666,0.9023496828374876,0.8998015873015873,0.9572773760568573,0.9166979362101313,-0.4757700562477112,2.0781002044677734,49.47035610000603
8,79,0.864406779661017,0.8214878922982778,0.830005120327701,0.9540735627323063,0.866611547471407,-0.45431849360466003,2.1277823448181152,49.55453389999457
9,157,0.9322033898305084,0.9201612903225805,0.9201612903225805,0.975711980408375,0.9322033898305084,-0.4656813144683838,2.131253719329834,49.765431800158694
