epoch,lr,loss,acc,macro_f1,bacc,macro_auc,weighted_f1,beta_min,beta_max,adapter_gradient_MRI,adapter_gradient_PET,adapter_gradient_CSF,adapter_gradient_Risk,adapter_gradient_COG,adapter_gradient_ROI
1,0.01,3.3096041679382324,0.3389830508474576,0.1687763713080169,0.3333333333333333,0.7658757382191919,0.17163698777086464,1.0,1.0,0.058025941252708435,0.05989675596356392,0.0736694186925888,0.061484936624765396,0.0333661250770092,0.04827539622783661
2,0.01,2.8816490173339844,0.3389830508474576,0.1687763713080169,0.3333333333333333,0.4814418240414445,0.17163698777086464,0.9962804317474365,1.0037058591842651,0.021697837859392166,0.021895216777920723,0.020022723823785782,0.02263309806585312,0.016341425478458405,0.0200406052172184
3,0.01,6.369246482849121,0.2711864406779661,0.15920398009950248,0.17204301075268816,0.4350152798919402,0.25094864659752086,0.9927576184272766,1.0005310773849487,0.16812504827976227,0.18494269251823425,0.21173347532749176,0.17950916290283203,0.16505609452724457,0.15137530863285065
4,0.01,4.560383319854736,0.3559322033898305,0.19444444444444445,0.22580645161290322,0.5223563122519479,0.306497175141243,0.9893929958343506,0.9982871413230896,0.08807916194200516,0.07709256559610367,0.08037158846855164,0.08783511072397232,0.07571624219417572,0.08319567143917084
5,0.01,4.428216934204102,0.5084745762711864,0.4073429951690821,0.5389784946236559,0.631505075148339,0.4047948906902481,0.9862832427024841,0.9959989190101624,0.021877937018871307,0.02435518242418766,0.019325025379657745,0.019520998001098633,0.028806569054722786,0.026964407414197922
6,0.01,3.0899949073791504,0.5254237288135594,0.4136752136752137,0.5188172043010753,0.8402385933695231,0.4181660147761843,0.98372483253479,0.9941481351852417,0.010072777047753334,0.013652164489030838,0.01010843738913536,0.010174857452511787,0.01322076003998518,0.010221941396594048
7,0.01,3.736708164215088,0.5423728813559322,0.4299355984898956,0.5295698924731184,0.8735297013760013,0.43148635373028144,0.9819492101669312,0.9927064180374146,0.018958572298288345,0.02057546377182007,0.015311826951801777,0.01579398848116398,0.015428813174366951,0.015584098175168037
8,0.01,2.6581082344055176,0.559322033898305,0.44722222222222224,0.5403225806451614,0.8401763848632919,0.44505649717514123,0.980634331703186,0.9917588233947754,0.006413754541426897,0.00837860256433487,0.00521830702200532,0.004635082557797432,0.009230528958141804,0.006132722366601229
9,0.01,2.4343416690826416,0.5932203389830508,0.49259259259259264,0.592741935483871,0.9240557513327912,0.4732580037664783,0.979400098323822,0.9913075566291809,0.0064566549845039845,0.008816374465823174,0.004445444326847792,0.005057123489677906,0.007266466040164232,0.005273968912661076
10,0.01,2.4639339447021484,0.6101694915254238,0.5169886742171885,0.6344086021505376,0.9332779596536712,0.48663602795876193,0.9785683155059814,0.9917070269584656,0.007732367143034935,0.009760553948581219,0.005437457002699375,0.0047611696645617485,0.011629262939095497,0.0063939508982002735
11,0.01,2.3908724784851074,0.5932203389830508,0.49743589743589745,0.6236559139784946,0.9262358293193208,0.4722294654498044,0.977876603603363,0.9926621913909912,0.0016347438795492053,0.0030661888886243105,0.001527830259874463,0.0014250370441004634,0.005910537671297789,0.0020492831245064735
12,0.01,2.287126064300537,0.4915254237288136,0.4861111111111111,0.6155913978494624,0.9123620002177878,0.3898305084745763,0.9775266647338867,0.9938087463378906,0.004323776811361313,0.006258324254304171,0.002682669786736369,0.003332685213536024,0.005623266566544771,0.003481246531009674
13,0.01,2.154637575149536,0.4576271186440678,0.45157456922162803,0.5940860215053764,0.8847752500503924,0.3269585183842412,0.9771479368209839,0.994908332824707,0.007459855638444424,0.007700668182224035,0.004622912500053644,0.004475567489862442,0.006843765266239643,0.005332085303962231
14,0.01,2.394155740737915,0.4915254237288136,0.4899579264904343,0.646505376344086,0.8769152574181037,0.37033030463266076,0.9770455360412598,0.9971405863761902,0.010373610071837902,0.013163197785615921,0.008255710825324059,0.0067478930577635765,0.02270263060927391,0.011838049627840519
