fold,best_epoch,correct,acc,macro_f1,bacc,macro_auc,weighted_f1,elapsed_seconds
0,81,55,0.9166666666666666,0.9023496828374876,0.8741679467485919,0.9616726664140457,0.9155990351112303,49.12691010022536
1,233,56,0.9333333333333333,0.908459595959596,0.8839285714285715,0.9692349328257347,0.9313131313131314,48.9930738999974
2,44,56,0.9333333333333333,0.9325542005420054,0.9474206349206349,0.9832539490558357,0.933279132791328,51.61075260001235
3,268,55,0.9166666666666666,0.9161500191350939,0.8943452380952381,0.9781728033496901,0.9162246460007655,44.695547400042415
4,217,55,0.9166666666666666,0.8910256410256411,0.8998015873015873,0.9336078786255673,0.9181410256410257,45.65712000010535
5,91,56,0.9333333333333333,0.8944916517590936,0.8839285714285715,0.9772589722471797,0.9316040548598689,45.209448399953544
6,203,56,0.9333333333333333,0.9464646464646465,0.9419642857142857,0.9841524216524217,0.9326767676767678,44.115646300138906
7,178,55,0.9166666666666666,0.8815346345197091,0.8625992063492064,0.9707392264880473,0.9157759280520474,42.664417600026354
8,136,52,0.8813559322033898,0.8433346238224287,0.840757808499744,0.9491076740652292,0.8816774608424051,46.08884490001947
9,160,55,0.9322033898305084,0.9199561403508771,0.9142473118279569,0.97763210329624,0.9323706512042819,42.33847580011934
