fold,best_epoch,best_used_supervised_ema,correct,acc,macro_f1,bacc,macro_auc,weighted_f1,pretrain_seconds,supervised_seconds
0,149,True,53,0.8833333333333333,0.8765842254214347,0.8526625704045059,0.9669556782668574,0.8828472991263688,17.18856419995427,53.06306320009753
1,341,True,53,0.8833333333333333,0.8748200389991435,0.8680555555555555,0.9530570866066149,0.8827401454267125,16.13042790000327,52.021105400053784
2,219,True,56,0.9333333333333333,0.9464646464646465,0.9419642857142857,0.954400055962556,0.9326767676767678,16.199442599900067,53.70259310002439
3,317,True,51,0.85,0.8427577559357683,0.8100198412698413,0.9612936253561254,0.8491576669498038,16.281096699880436,53.88202660018578
4,379,True,51,0.85,0.8026755852842808,0.7728174603174603,0.9506637394314282,0.8466740988480119,16.3765343001578,54.004008600022644
5,225,True,56,0.9333333333333333,0.9081699346405229,0.873015873015873,0.9812727017915698,0.9316830065359477,15.780093500157818,54.515369300032035
6,255,True,54,0.9,0.9179566563467492,0.910218253968254,0.9922097578347578,0.8976780185758514,16.851902100024745,53.93699779990129
7,129,True,55,0.9166666666666666,0.9026701119724375,0.9052579365079364,0.9571228310909915,0.9165866863541282,16.112478099996224,53.9911847000476
8,273,True,48,0.8135593220338984,0.7806878306878305,0.7875064004096263,0.9284926542991059,0.8153214958299703,16.37575830006972,53.23190849996172
9,197,True,52,0.8813559322033898,0.8773908523908523,0.8701612903225806,0.9778222620727365,0.8806582332006061,15.829225599998608,54.04579139989801
