fold,best_epoch,correct,acc,macro_f1,bacc,macro_auc,weighted_f1,elapsed_seconds
0,145,54,0.9,0.8887445887445887,0.8582949308755761,0.9746140711449387,0.898982683982684,59.62843499984592
1,207,57,0.95,0.9431013431013432,0.9260912698412698,0.9645616274448822,0.9497435897435896,54.606749000027776
2,226,58,0.9666666666666667,0.9740957966764419,0.9791666666666666,0.9827692562067561,0.9668866080156403,57.899993600090966
3,128,55,0.9166666666666666,0.8951785786514582,0.8625992063492064,0.9586604215141951,0.915144804433119,57.219985499978065
4,82,55,0.9166666666666666,0.8815346345197091,0.8625992063492064,0.9316413899255881,0.9157759280520474,56.56207749992609
5,59,54,0.9,0.8685966363385719,0.8630952380952381,0.9627859801798481,0.8981306865177833,56.03545190021396
6,213,57,0.95,0.9427669345579793,0.9206349206349206,0.9899076617826618,0.9496450440107156,58.69672539993189
7,126,56,0.9333333333333333,0.9156746031746031,0.9156746031746031,0.9700591926417398,0.9333333333333333,58.87078180001117
8,75,55,0.9322033898305084,0.903359173126615,0.9201228878648234,0.9742283749074921,0.9329654447510182,58.722360000014305
9,58,57,0.9661016949152542,0.9588950083049218,0.9475806451612904,0.9852484169846599,0.9657434201460658,58.69515920011327
