fold,best_epoch,acc,macro_f1,bacc,probability_macro_auc,weighted_f1,selection_macro_auc_adjusted,training_elapsed_seconds,fold_elapsed_seconds
0,159,0.9333333333333333,0.9157240608853513,0.8951612903225806,0.9549369285186861,0.9317099567099568,0.9576410591427278,45.981403399957344,47.51595759997144
1,52,0.8666666666666667,0.8510162601626017,0.8630952380952381,0.9469230433263451,0.8673170731707317,0.9492396579660731,46.49026650004089,46.70903859985992
2,68,0.9333333333333333,0.9481915933528837,0.9528769841269842,0.9771412037037036,0.9337732160312805,0.9791412291412293,47.002613299991935,47.24893800006248
3,165,0.95,0.9431013431013432,0.9260912698412698,0.977218896145783,0.9497435897435896,0.9793238513757382,46.08269269997254,46.28356000012718
4,60,0.9166666666666666,0.8815346345197091,0.8625992063492064,0.9667647331267615,0.9157759280520474,0.9667647331267615,47.246163399890065,47.470635200152174
5,142,0.95,0.9287559985234403,0.9315476190476191,0.9824118709731917,0.949796973052787,0.9924827912740649,46.161908000009134,46.35616709990427
6,97,0.95,0.9602251407129456,0.9578373015873015,0.9668040293040293,0.9497748592870544,0.9660599816849818,44.16645159991458,44.375454999972135
7,70,0.8666666666666667,0.8426505664877758,0.8313492063492064,0.9397282432364981,0.8657125819916518,0.9431899664800608,42.819269499974325,43.024029900087044
8,168,0.864406779661017,0.8403866248693834,0.8719918074756784,0.9198212653221143,0.8655092715583655,0.9371360576793514,47.548568499973044,47.748858499806374
9,181,0.9322033898305084,0.9039529914529915,0.889247311827957,0.9716781584428643,0.9313504997827032,0.9724462075980104,45.696550799999386,45.913568899966776
