fold,best_epoch,correct,acc,macro_f1,bacc,macro_auc,weighted_f1,elapsed_seconds
0,84,56,0.9333333333333333,0.9330165874802034,0.9209549411162313,0.9780940462948249,0.933359173126615,47.122439899947494
1,279,57,0.95,0.9287559985234403,0.9315476190476191,0.9437354334170371,0.949796973052787,45.577337899943814
2,87,58,0.9666666666666667,0.9737103174603176,0.9737103174603176,0.9965468559218559,0.9666666666666667,45.64658490009606
3,73,57,0.95,0.9213889900093032,0.8888888888888888,0.9880185055597792,0.9481383731747764,46.683201499981806
4,127,55,0.9166666666666666,0.8951785786514582,0.8625992063492064,0.9402411333425484,0.915144804433119,45.12526689982042
5,116,53,0.8833333333333333,0.8551594865929597,0.8844246031746031,0.9558283970135385,0.8852125428898208,42.55410489998758
6,118,56,0.9333333333333333,0.9464646464646465,0.9419642857142857,0.9914307336182336,0.9326767676767678,43.92178800003603
7,104,57,0.95,0.9602251407129456,0.9578373015873015,0.9736530830280831,0.9497748592870544,51.812188799958676
8,125,56,0.9491525423728814,0.9208194905869324,0.8940092165898618,0.9775213467912959,0.9469283180359255,44.92540679988451
9,60,56,0.9491525423728814,0.9284493284493284,0.9,0.9940438541007802,0.9476873409076799,45.78493960015476
