fold,best_epoch,correct,acc,macro_f1,bacc,macro_auc,weighted_f1,elapsed_seconds
0,163,56,0.9333333333333333,0.8944916517590936,0.864247311827957,0.9869156612760618,0.9287995676803816,47.58243550010957
1,183,55,0.9166666666666666,0.8815628815628817,0.8680555555555555,0.9579207534691024,0.9153846153846155,46.358274600002915
2,100,58,0.9666666666666667,0.9732323232323233,0.9682539682539683,0.9848964692714693,0.9663383838383839,45.31303220009431
3,201,55,0.9166666666666666,0.9356405585913783,0.9424603174603176,0.9452838827838828,0.9173952641165755,44.08456250000745
4,98,57,0.95,0.9427669345579793,0.9206349206349206,0.9478505530981947,0.9496450440107156,47.92842699983157
5,115,55,0.9166666666666666,0.8815628815628817,0.8680555555555555,0.962384079276768,0.9153846153846155,45.7125067000743
6,160,55,0.9166666666666666,0.9176009176009176,0.9052579365079364,0.9757453194953195,0.9168794168794169,46.351783300051466
7,63,56,0.9333333333333333,0.8947448215740899,0.8784722222222222,0.9859262690925427,0.9322171053878371,43.51044949982315
8,129,52,0.8813559322033898,0.7967143967143967,0.7721454173067076,0.9526058736585052,0.8725376318596658,44.11572450003587
9,56,56,0.9491525423728814,0.933913308913309,0.9309139784946238,0.9877093020831161,0.9493387967964239,44.88418839988299
