fold,subject_index,truth,c1_prediction,pc_bbf_v1_prediction,conservative_prediction,status_vs_c1,status_vs_pc_bbf_v1
7,0,0,0,0,0,unchanged,unchanged
2,1,0,0,0,0,unchanged,unchanged
7,2,0,0,0,0,unchanged,unchanged
2,3,0,0,0,0,unchanged,unchanged
9,4,0,0,0,0,unchanged,unchanged
6,5,0,0,0,0,unchanged,unchanged
9,6,0,0,0,0,unchanged,unchanged
0,7,0,2,2,2,unchanged,unchanged
9,8,0,0,0,0,unchanged,unchanged
8,9,0,0,0,0,unchanged,unchanged
8,10,0,0,0,2,damage,damage
0,11,0,0,0,0,unchanged,unchanged
6,12,0,0,0,0,unchanged,unchanged
7,13,0,0,0,0,unchanged,unchanged
1,14,0,0,0,2,damage,damage
2,15,0,0,0,0,unchanged,unchanged
3,16,0,0,2,0,unchanged,repair
9,17,0,2,2,2,unchanged,unchanged
4,18,0,2,2,0,repair,repair
3,19,0,0,0,0,unchanged,unchanged
0,20,0,0,0,0,unchanged,unchanged
9,21,0,0,2,0,unchanged,repair
4,22,0,2,2,2,unchanged,unchanged
5,23,0,0,0,0,unchanged,unchanged
2,24,0,2,0,0,repair,unchanged
7,25,0,0,0,0,unchanged,unchanged
4,26,0,0,0,0,unchanged,unchanged
0,27,0,0,0,2,damage,damage
6,28,0,0,0,0,unchanged,unchanged
4,29,0,0,0,0,unchanged,unchanged
0,30,0,0,0,0,unchanged,unchanged
5,31,0,0,0,0,unchanged,unchanged
3,32,0,0,0,0,unchanged,unchanged
5,33,0,2,2,2,unchanged,unchanged
7,34,0,2,0,2,unchanged,damage
5,35,0,0,0,0,unchanged,unchanged
6,36,0,0,0,0,unchanged,unchanged
0,37,0,0,0,0,unchanged,unchanged
2,38,0,0,0,0,unchanged,unchanged
3,39,0,0,0,0,unchanged,unchanged
6,40,0,0,0,0,unchanged,unchanged
9,41,0,0,0,0,unchanged,unchanged
1,42,0,0,0,0,unchanged,unchanged
5,43,0,0,0,2,damage,damage
7,44,0,0,0,0,unchanged,unchanged
8,45,0,2,2,2,unchanged,unchanged
8,46,0,0,0,2,damage,damage
7,47,0,0,0,2,damage,damage
1,48,0,0,0,0,unchanged,unchanged
0,49,0,2,0,2,unchanged,damage
8,50,0,0,0,0,unchanged,unchanged
8,51,0,0,0,0,unchanged,unchanged
1,52,0,0,0,0,unchanged,unchanged
4,53,0,0,0,0,unchanged,unchanged
1,54,0,0,0,0,unchanged,unchanged
3,55,0,2,2,0,repair,repair
3,56,0,0,0,0,unchanged,unchanged
1,57,0,2,2,2,unchanged,unchanged
3,58,0,0,0,0,unchanged,unchanged
0,59,0,0,0,0,unchanged,unchanged
4,60,0,0,0,0,unchanged,unchanged
1,61,0,0,0,0,unchanged,unchanged
2,62,0,0,0,0,unchanged,unchanged
5,63,0,0,0,0,unchanged,unchanged
6,64,0,0,0,0,unchanged,unchanged
9,65,0,0,0,0,unchanged,unchanged
5,66,0,0,0,0,unchanged,unchanged
4,67,0,0,0,0,unchanged,unchanged
8,68,0,0,2,2,damage,unchanged
6,69,0,0,0,2,damage,damage
9,70,0,0,0,0,unchanged,unchanged
2,71,0,0,0,0,unchanged,unchanged
3,72,1,1,1,1,unchanged,unchanged
9,73,1,1,1,1,unchanged,unchanged
9,74,1,1,1,1,unchanged,unchanged
3,75,1,1,1,1,unchanged,unchanged
1,76,1,1,1,1,unchanged,unchanged
