fold,best_epoch,acc,macro_f1,bacc,macro_auc,weighted_f1,params,elapsed_seconds
0,94,0.9333333333333333,0.9157240608853513,0.8951612903225806,0.9748634805642592,0.9317099567099568,778251,28.62374579999596
1,47,0.9,0.9034055375518791,0.8839285714285715,0.9270539961872509,0.8998578657115242,778251,28.368170300032943
2,81,0.9333333333333333,0.9325542005420054,0.9474206349206349,0.963897792022792,0.933279132791328,778251,28.593695900170133
3,52,0.9333333333333333,0.9464646464646465,0.9419642857142857,0.9789663461538461,0.9326767676767678,778251,28.177877000067383
4,195,0.8833333333333333,0.8758331099794514,0.8735119047619048,0.9389945746077822,0.8832145090681676,778251,32.74013579986058
5,114,0.95,0.9213889900093032,0.8888888888888888,0.9912822480629084,0.9481383731747764,778251,33.161358000012115
6,101,0.95,0.9602251407129456,0.9578373015873015,0.983872608872609,0.9497748592870544,778251,35.8765366000589
7,74,0.8833333333333333,0.8645502645502646,0.878968253968254,0.9623021272490613,0.8840740740740741,778251,31.381694999989122
8,219,0.9152542372881356,0.869687562405824,0.8725038402457758,0.9755955231337236,0.9147566830579553,778251,30.512585500022396
9,256,0.9661016949152542,0.9475806451612904,0.9475806451612904,0.9843453510436433,0.9661016949152542,778251,32.46931830001995
