epoch,alpha,lr,loss,correct,acc,macro_f1,bacc,macro_auc,weighted_f1,cap_saturation_fraction_MRI,cap_saturation_fraction_PET,cap_saturation_fraction_ROI,mean_residual_shared_ratio_MRI,mean_residual_shared_ratio_PET,mean_residual_shared_ratio_ROI
1,0.0,0.01,3.2923636436462402,21,0.3559322033898305,0.17500000000000002,0.3333333333333333,0.8530916828879477,0.186864406779661,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.01,2.949141025543213,21,0.3559322033898305,0.17500000000000002,0.3333333333333333,0.508503993648306,0.186864406779661,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.01,6.159717082977295,23,0.3898305084745763,0.20175438596491227,0.24731182795698925,0.4596349227079278,0.31801962533452277,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.01,4.817208766937256,26,0.4406779661016949,0.21940928270042193,0.2795698924731183,0.5166804521643231,0.34584853035829216,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.01,4.768146991729736,31,0.5254237288135594,0.22962962962962963,0.3333333333333333,0.6069365929298017,0.36195856873822974,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.01,5.845235347747803,32,0.5423728813559322,0.4416315049226441,0.565284178187404,0.7733114838377997,0.4249445755560323,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.01,3.784348249435425,32,0.5423728813559322,0.4416315049226441,0.565284178187404,0.7766143025056437,0.4249445755560323,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.01,4.190760612487793,34,0.576271186440678,0.4710269650028686,0.5499231950844854,0.7547938290722671,0.45190933224423113,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.01,3.0489859580993652,35,0.5932203389830508,0.5024390243902439,0.597542242703533,0.7523549361410141,0.4665564282761472,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.01,2.797314405441284,35,0.5932203389830508,0.5024390243902439,0.597542242703533,0.7586682794662422,0.4665564282761472,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.01,2.741018295288086,35,0.5932203389830508,0.5024390243902439,0.597542242703533,0.7751004890223906,0.4665564282761472,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.01,2.5038352012634277,32,0.5423728813559322,0.4305555555555555,0.5284178187403994,0.764494984359161,0.42443502824858753,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.01,2.4335808753967285,32,0.5423728813559322,0.41537578886976473,0.4915514592933947,0.7137871560621983,0.4222993669593628,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.01,2.3673033714294434,30,0.5084745762711864,0.5045581869111281,0.6513056835637481,0.8096637375075405,0.40032370421203917,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.01,2.290752410888672,32,0.5423728813559322,0.5441342077371489,0.6728110599078341,0.8140984180882312,0.4593356754062138,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.01,2.3461601734161377,36,0.6101694915254238,0.6202179348082457,0.7107014848950333,0.8044102190961274,0.5736023685159437,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.01,2.333652973175049,38,0.6440677966101694,0.6406204272753878,0.6758832565284179,0.8090656749400383,0.632922129134983,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.01,2.278355598449707,33,0.559322033898305,0.4352869352869353,0.5023041474654377,0.8427872825156357,0.4358043086856646,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.01,2.325385570526123,34,0.576271186440678,0.45751633986928103,0.5130568356374808,0.8363599237962566,0.44998338318378195,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.01,2.299595832824707,31,0.5254237288135594,0.40998838559814166,0.4807987711213517,0.8454407316886096,0.41380735841256716,0.0,0.0,0.0,0.0,0.0,0.0
21,0.05,0.009999830837037664,2.1951310634613037,41,0.6949152542372882,0.6891443167305237,0.7071172555043522,0.8570956962298218,0.6945645821157218,0.0,0.0,0.0,1.1691786312439945e-05,1.161766704171896e-05,1.0915840903180651e-05
22,0.1,0.009999323359712722,2.254213333129883,39,0.6610169491525424,0.6519230769230769,0.7009728622631849,0.8557954024847064,0.6495110821382009,0.0,0.0,0.0,5.6322728596569505e-06,5.115392923471518e-06,6.096588549553417e-06
23,0.15,0.009998477602710573,2.135274887084961,32,0.5423728813559322,0.3941176470588235,0.4546850998463901,0.7969515393114713,0.41784646061814557,0.0,0.0,0.0,3.934181222575717e-05,3.945386197301559e-05,4.2864827264565974e-05
24,0.2,0.009997293623837585,2.4127755165100098,44,0.7457627118644068,0.7385346605685589,0.7444956477214543,0.8779330460145403,0.7455137412620895,0.0,0.0,0.0,4.7307232307503e-05,4.770612213178538e-05,4.9670041335048154e-05
