fold,train_size,test_size,split_sha256,acc,macro_f1,bacc,macro_auc,weighted_f1,fit_seconds,predict_proba_seconds,total_seconds,cuda_peak_memory_allocated_bytes
0,538,60,1adda8298733c24259acfa957378b356f52db9545ae9c40ef8889ee97bf3ff04,0.76666666666666672,0.72791706938048406,0.70020481310803895,0.91527388433673185,0.7622927208293061,1.0129602001979947,3.0626920000649989,4.0771045000292361,778540544
1,538,60,529f52f8102c68c35ce93fe397fd1e8be83edc6ddf1ae9c2981b099e5e4b638e,0.84999999999999998,0.84931653712141519,0.84722222222222221,0.93136469684229117,0.84973108192620395,0.76448279991745949,0.52670220006257296,1.2927532000467181,778540544
2,538,60,45901ce4e5beb6a5c30ca6e7dd63f69f3bef8cf9cd26bd9ad13c805a834d98a1,0.75,0.78418803418803418,0.80009920634920639,0.87689488566552243,0.7466452991452992,0.82230579992756248,0.52621120004914701,1.3503666999749839,778540544
3,538,60,af1cd9f0c1c662e18e4827e01525e573ca7755e762858c9423f36c467c9ad727,0.71666666666666667,0.76319976319976324,0.74751984126984128,0.88285701566951558,0.71983756983756986,0.81820350000634789,0.59438530006445944,1.414476300124079,778540544
4,538,60,f927bc45ad33595185b6ace11d1b1deb0fbbb43f2fe4239056b3b4c1097ef7a0,0.68333333333333335,0.65586023371514512,0.615079365079365,0.88079795597484267,0.67999652898299201,0.78070950019173324,0.56351840007118881,1.3462221000809222,778540544
5,538,60,7b18387f37130eb297c904390f0a762788d3ec34d59820dff40e5126e2cddf49,0.73333333333333328,0.7354070660522275,0.7633928571428571,0.91047094938604367,0.73319892473118276,0.83319499995559454,0.54716879990883172,1.3819190000649542,778540544
6,538,60,7edb8fbd66273445117ecbf87b01106f796bcf571452e0335d2fef069155d4a4,0.80000000000000004,0.80844155844155852,0.80505952380952372,0.93355676359803719,0.79886363636363644,0.80162289994768798,0.5598679999820888,1.3632489000447094,778540544
7,538,60,cc05b052a3c49b11ffc913a2d2a548dd400265e1cb8088c37e5378eee7767aa6,0.73333333333333328,0.74814814814814812,0.76884920634920639,0.91142749633315667,0.73333333333333328,0.77233810001052916,0.5282179000787437,1.3020546000916511,772625920
8,539,59,b50979aea7b950e281ec0e4147d698a508f32c0f1314b39a2132117755234795,0.74576271186440679,0.73853466056855888,0.74449564772145427,0.9111472850861646,0.74551374126208947,0.81246370007283986,0.52959779999218881,1.3435066998936236,778541056
9,539,59,f1395a882a4f6c518e17eeac3d37500a94d855534d5b8966eaa8421c3162ff12,0.86440677966101698,0.83991228070175439,0.83440860215053769,0.97965573326104638,0.86474130240856373,0.69444390013813972,0.54358329996466637,1.2395258999895304,778541056
