fold,train_size,test_size,split_sha256,acc,macro_f1,bacc,macro_auc,weighted_f1,fit_seconds,predict_proba_seconds,total_seconds,cuda_peak_memory_allocated_bytes
0,538,60,1adda8298733c24259acfa957378b356f52db9545ae9c40ef8889ee97bf3ff04,0.91666666666666663,0.90267011197243752,0.8792882744495647,0.98094498737574376,0.91552848529592723,3.9423683995846659,10.162888999795541,22.951723400037736,712196096
1,538,60,529f52f8102c68c35ce93fe397fd1e8be83edc6ddf1ae9c2981b099e5e4b638e,0.94999999999999996,0.92875599852344026,0.93154761904761907,0.97233735102249252,0.94979697305278699,3.847800999879837,7.9743454998824745,19.578494700137526,712196096
2,538,60,45901ce4e5beb6a5c30ca6e7dd63f69f3bef8cf9cd26bd9ad13c805a834d98a1,0.96666666666666667,0.97409579667644186,0.97916666666666663,0.99725592694342691,0.9668866080156403,3.8738945999648422,8.0731206999626011,19.795011800015345,712196096
3,538,60,af1cd9f0c1c662e18e4827e01525e573ca7755e762858c9423f36c467c9ad727,0.90000000000000002,0.90221216691804929,0.87847222222222221,0.97551320207570213,0.89909502262443441,3.7029535998590291,7.728879600064829,18.520709599833935,712196096
4,538,60,f927bc45ad33595185b6ace11d1b1deb0fbbb43f2fe4239056b3b4c1097ef7a0,0.8833333333333333,0.8294314381270903,0.79910714285714279,0.96113062121316839,0.88008175399479749,3.6323926001787186,7.4823420995380729,17.806425499962643,712196096
5,538,60,7b18387f37130eb297c904390f0a762788d3ec34d59820dff40e5126e2cddf49,0.90000000000000002,0.87769308943089441,0.88938492063492058,0.98144842469724536,0.90105691056910564,3.4882097002118826,7.3309068998787552,17.483618000056595,712196096
6,538,60,7edb8fbd66273445117ecbf87b01106f796bcf571452e0335d2fef069155d4a4,0.91666666666666663,0.9195767195767196,0.93700396825396826,0.97319658743597426,0.91656084656084647,3.6765883998014033,7.5858853000681847,18.85544820013456,712196096
7,538,60,cc05b052a3c49b11ffc913a2d2a548dd400265e1cb8088c37e5378eee7767aa6,0.91666666666666663,0.93478528362249291,0.93700396825396826,0.9674908424908425,0.91697428325335295,3.9166107000783086,7.7651536997873336,19.159302199957892,711622656
8,539,59,b50979aea7b950e281ec0e4147d698a508f32c0f1314b39a2132117755234795,0.86440677966101698,0.83000512032770102,0.83000512032770102,0.96011326911157135,0.86440677966101698,3.8475809001829475,7.7970184998121113,19.110767600126565,712462848
9,539,59,f1395a882a4f6c518e17eeac3d37500a94d855534d5b8966eaa8421c3162ff12,0.93220338983050843,0.91112408569714065,0.92016129032258054,0.99366544798233603,0.93348160646266332,3.8091281997039914,7.5736302000004798,19.538547599921003,712462336
