feature_index,feature_name,modality,member_00,member_01,member_02,member_03,coverage_count
0,ST115CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1,0,2
1,ST121CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,1,0,2
2,ST31TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1,1,3
3,ST39SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1,0,2
4,ST102CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,0,1,2
5,ST39TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,0,1,2
6,ST32TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,1,0,3
7,ST74SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1,0,2
8,ST127SV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,0,1,2
9,ST31CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1,0,2
10,ST58CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1,0,2
11,ST94SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,0,1,2
12,ST110TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1,0,2
13,ST117SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1,0,2
14,ST45TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,0,1,2
15,ST52CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,1,0,3
16,ST62CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,0,1,2
17,ST45CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1,0,2
18,ST50SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,1,1,3
19,ST45SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,0,1,2
20,ST73CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1,0,2
21,ST97CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,0,1,2
22,ST47TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,0,1,3
23,ST113TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,0,1,3
24,ST82CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1,0,2
25,ST40TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,0,1,2
26,ST111CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,0,1,2
27,ST90TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1,0,2
28,ST90CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1,0,2
29,ST117TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,1,0,2
30,ST26SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1,0,2
