fold,subject_index,truth,tuned_prediction,e2_full_feature_prediction,tuned_correct,e2_full_feature_correct,tuned_only_correct,e2_full_feature_only_correct
7,0,0,0,0,1,1,0,0
2,1,0,0,0,1,1,0,0
7,2,0,0,0,1,1,0,0
2,3,0,0,0,1,1,0,0
9,4,0,0,0,1,1,0,0
6,5,0,0,0,1,1,0,0
9,6,0,0,0,1,1,0,0
0,7,0,2,2,0,0,0,0
9,8,0,0,0,1,1,0,0
8,9,0,0,0,1,1,0,0
8,10,0,0,0,1,1,0,0
0,11,0,0,2,1,0,1,0
6,12,0,0,0,1,1,0,0
7,13,0,0,0,1,1,0,0
1,14,0,0,0,1,1,0,0
2,15,0,0,0,1,1,0,0
3,16,0,0,0,1,1,0,0
9,17,0,2,2,0,0,0,0
4,18,0,2,2,0,0,0,0
3,19,0,0,0,1,1,0,0
0,20,0,0,0,1,1,0,0
9,21,0,0,0,1,1,0,0
4,22,0,2,2,0,0,0,0
5,23,0,0,0,1,1,0,0
2,24,0,0,0,1,1,0,0
7,25,0,0,0,1,1,0,0
4,26,0,2,2,0,0,0,0
0,27,0,0,2,1,0,1,0
6,28,0,0,0,1,1,0,0
4,29,0,0,0,1,1,0,0
0,30,0,0,0,1,1,0,0
5,31,0,0,0,1,1,0,0
3,32,0,0,0,1,1,0,0
5,33,0,0,0,1,1,0,0
7,34,0,0,0,1,1,0,0
5,35,0,0,0,1,1,0,0
6,36,0,0,0,1,1,0,0
0,37,0,0,0,1,1,0,0
2,38,0,0,0,1,1,0,0
3,39,0,0,0,1,1,0,0
6,40,0,0,0,1,1,0,0
9,41,0,0,0,1,1,0,0
1,42,0,0,0,1,1,0,0
5,43,0,2,2,0,0,0,0
7,44,0,0,0,1,1,0,0
8,45,0,2,2,0,0,0,0
8,46,0,0,0,1,1,0,0
7,47,0,0,0,1,1,0,0
1,48,0,0,0,1,1,0,0
0,49,0,2,2,0,0,0,0
8,50,0,2,2,0,0,0,0
8,51,0,0,0,1,1,0,0
1,52,0,0,0,1,1,0,0
4,53,0,0,0,1,1,0,0
1,54,0,0,0,1,1,0,0
3,55,0,0,0,1,1,0,0
3,56,0,0,0,1,1,0,0
1,57,0,2,2,0,0,0,0
3,58,0,0,2,1,0,1,0
0,59,0,0,0,1,1,0,0
4,60,0,0,0,1,1,0,0
1,61,0,0,0,1,1,0,0
2,62,0,0,0,1,1,0,0
