member,feature_index,feature_name,modality
0,0,ST115CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
0,2,ST31TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
0,3,ST39SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
0,6,ST32TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
0,7,ST74SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
0,9,ST31CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
0,10,ST58CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
0,12,ST110TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
0,13,ST117SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
0,15,ST52CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
0,17,ST45CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
0,20,ST73CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
0,22,ST47TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
0,23,ST113TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
0,24,ST82CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
0,27,ST90TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
0,28,ST90CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
0,30,ST26SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
0,31,ST48CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
0,33,ST118SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
0,35,ST93CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
0,36,ST13TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
0,37,ST93TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
0,38,ST110CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
0,41,ST104SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
0,42,ST62TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
0,43,ST108SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
0,44,ST85SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
0,45,ST32SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
0,48,ST58TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
0,52,ST97TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
0,54,ST108CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
0,55,ST103TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
0,57,ST99CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
0,61,ST50CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
0,62,ST57SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
0,64,ST84TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
0,65,ST72CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
0,68,ST38CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
0,69,ST107TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
0,72,ST47SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
0,75,ST23SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
0,77,ST74CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
0,79,ST98SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
0,82,ST34TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
0,83,ST85CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
0,84,ST116CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
0,85,ST110SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
0,86,ST48TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
0,87,ST115SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
0,90,ST55CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
0,92,ST34CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
0,93,ST57CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
0,95,ST121TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
0,96,ST40SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
0,97,ST118TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
0,98,ST38SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
0,101,ST32TS_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
0,102,ST107CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
0,103,ST15CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
0,107,ST55SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
0,108,ST119CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
0,110,ST95SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
0,111,ST31SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
0,113,ST46TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
0,114,ST30SV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
0,115,ST46SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
0,116,ST94CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
0,117,ST49TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
0,119,ST102SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
0,124,ST113CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
0,125,ST60TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
0,126,ST35CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
0,130,ST111TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
0,131,ST56SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
0,132,ST103CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
0,134,ST104TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
0,136,ST128SV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
