fold,train_size,test_size,split_sha256,acc,macro_f1,bacc,macro_auc,weighted_f1,fit_seconds,predict_proba_seconds,total_seconds,cuda_peak_memory_allocated_bytes
0,538,60,1adda8298733c24259acfa957378b356f52db9545ae9c40ef8889ee97bf3ff04,0.91666666666666663,0.90267011197243752,0.8792882744495647,0.98394746423806489,0.91552848529592723,0.98662720015272498,4.8888858000282198,5.8806728001218289,778540544
1,538,60,529f52f8102c68c35ce93fe397fd1e8be83edc6ddf1ae9c2981b099e5e4b638e,0.94999999999999996,0.92875599852344026,0.93154761904761907,0.9764014156702836,0.94979697305278699,0.69775200006552041,3.1525571001693606,3.8545393000822514,778540544
2,538,60,45901ce4e5beb6a5c30ca6e7dd63f69f3bef8cf9cd26bd9ad13c805a834d98a1,0.94999999999999996,0.96087117017349577,0.96329365079365081,0.99844195156695159,0.95018456995201173,0.95914139994420111,3.2932418000418693,4.2570547999348491,778540544
3,538,60,af1cd9f0c1c662e18e4827e01525e573ca7755e762858c9423f36c467c9ad727,0.90000000000000002,0.90221216691804929,0.87847222222222221,0.98059434778184773,0.89909502262443441,0.97072339989244938,3.1713660999666899,4.1480305998120457,778540544
4,538,60,f927bc45ad33595185b6ace11d1b1deb0fbbb43f2fe4239056b3b4c1097ef7a0,0.8833333333333333,0.8294314381270903,0.79910714285714279,0.9639941426498031,0.88008175399479749,0.93912029988132417,2.8553375001065433,3.7999215999152511,778540544
5,538,60,7b18387f37130eb297c904390f0a762788d3ec34d59820dff40e5126e2cddf49,0.90000000000000002,0.87769308943089441,0.88938492063492058,0.98371554415186491,0.90105691056910564,0.76197639992460608,2.9121025998611003,3.6787084999959916,778540544
6,538,60,7edb8fbd66273445117ecbf87b01106f796bcf571452e0335d2fef069155d4a4,0.90000000000000002,0.90587737127371282,0.92113095238095244,0.98057982919421605,0.89953929539295385,0.75076810014434159,2.8041312999557704,3.5594488000497222,778540544
7,538,60,cc05b052a3c49b11ffc913a2d2a548dd400265e1cb8088c37e5378eee7767aa6,0.90000000000000002,0.92228739002932558,0.92658730158730152,0.96979293854293858,0.9006598240469208,0.73200049996376038,2.7897336001042277,3.5268169001210481,777577472
8,539,59,b50979aea7b950e281ec0e4147d698a508f32c0f1314b39a2132117755234795,0.86440677966101698,0.83000512032770102,0.83000512032770102,0.95952660808348422,0.86440677966101698,0.71687330002896488,2.8744886999484152,3.596368599915877,778541056
9,539,59,f1395a882a4f6c518e17eeac3d37500a94d855534d5b8966eaa8421c3162ff12,0.93220338983050843,0.91112408569714065,0.92016129032258054,0.99087938732151259,0.93348160646266332,0.78497039992362261,2.6987645998597145,3.4904504001606256,778541056
