feature_index,feature_name,modality,fold_00_coverage_count,fold_01_coverage_count,fold_02_coverage_count,fold_03_coverage_count,fold_04_coverage_count,fold_05_coverage_count,fold_06_coverage_count,fold_07_coverage_count,fold_08_coverage_count,fold_09_coverage_count,minimum_coverage_count_across_folds,maximum_coverage_count_across_folds,total_coverage_count_across_folds
0,ST115CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,5,5,5,5,5,5,5,5,5,5,5,5,50
1,ST121CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,4,4,4,4,4,4,4,4,4,4,4,4,40
2,ST31TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,5,5,5,5,5,5,5,5,5,5,5,5,50
3,ST39SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,4,4,4,4,4,4,4,4,4,4,4,4,40
4,ST102CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,4,4,4,4,4,4,4,4,4,4,4,4,40
5,ST39TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,4,4,4,4,4,4,4,4,4,4,4,4,40
6,ST32TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,5,5,5,5,5,5,5,5,5,5,5,5,50
7,ST74SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,5,5,5,5,5,5,5,5,5,5,5,5,50
8,ST127SV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,4,4,4,4,4,4,4,4,4,4,4,4,40
9,ST31CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,4,4,4,4,4,4,4,4,4,4,4,4,40
10,ST58CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,4,4,4,4,4,4,4,4,4,4,4,4,40
11,ST94SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,4,4,4,4,4,4,4,4,4,4,4,4,40
12,ST110TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,4,4,4,4,4,4,4,4,4,4,4,4,40
13,ST117SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,4,4,4,4,4,4,4,4,4,4,4,4,40
14,ST45TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,4,4,4,4,4,4,4,4,4,4,4,4,40
15,ST52CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,5,5,5,5,5,5,5,5,5,5,5,5,50
16,ST62CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,4,4,4,4,4,4,4,4,4,4,4,4,40
17,ST45CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,4,4,4,4,4,4,4,4,4,4,4,4,40
18,ST50SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,5,5,5,5,5,5,5,5,5,5,5,5,50
19,ST45SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,4,4,4,4,4,4,4,4,4,4,4,4,40
20,ST73CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,4,4,4,4,4,4,4,4,4,4,4,4,40
21,ST97CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,4,4,4,4,4,4,4,4,4,4,4,4,40
22,ST47TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,6,6,6,6,6,6,6,6,6,6,6,6,60
23,ST113TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,5,5,5,5,5,5,5,5,5,5,5,5,50
24,ST82CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,5,5,5,5,5,5,5,5,5,5,5,5,50
25,ST40TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,4,4,4,4,4,4,4,4,4,4,4,4,40
26,ST111CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,4,4,4,4,4,4,4,4,4,4,4,4,40
27,ST90TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,4,4,4,4,4,4,4,4,4,4,4,4,40
28,ST90CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,5,5,5,5,5,5,5,5,5,5,5,5,50
29,ST117TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,4,4,4,4,4,4,4,4,4,4,4,4,40
