feature_index,feature_name,modality,member_00,member_01,member_02,member_03,member_04,member_05,member_06,member_07,coverage_count
0,ST115CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1,0,1,1,0,1,5
1,ST121CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,1,0,1,0,1,0,4
2,ST31TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1,1,0,1,0,1,5
3,ST39SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1,0,1,0,1,0,4
4,ST102CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,0,1,1,0,1,0,4
5,ST39TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,0,1,0,1,0,1,4
6,ST32TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,1,0,1,0,1,0,5
7,ST74SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1,0,1,0,1,1,5
8,ST127SV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,0,1,0,1,0,1,4
9,ST31CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1,0,1,0,1,0,4
10,ST58CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1,0,1,0,1,0,4
11,ST94SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,0,1,0,1,0,1,4
12,ST110TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1,0,1,0,1,0,4
13,ST117SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1,0,1,0,1,0,4
14,ST45TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,0,1,1,0,1,0,4
15,ST52CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,1,0,1,0,1,0,5
16,ST62CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,0,1,0,1,0,1,4
17,ST45CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1,0,1,0,1,0,4
18,ST50SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,1,1,0,1,1,0,5
