fold,train_size,test_size,split_sha256,acc,macro_f1,bacc,macro_auc,weighted_f1,fit_seconds,predict_proba_seconds,total_seconds,cuda_peak_memory_allocated_bytes
0,538,60,1adda8298733c24259acfa957378b356f52db9545ae9c40ef8889ee97bf3ff04,0.90000000000000002,0.84271284271284275,0.80670762928827455,0.97132790503897282,0.89191919191919189,1.0545198998879641,2.9558637000154704,4.0133893000893295,778540544
1,538,60,529f52f8102c68c35ce93fe397fd1e8be83edc6ddf1ae9c2981b099e5e4b638e,0.94999999999999996,0.92875599852344026,0.93154761904761907,0.97792448750585537,0.94979697305278699,0.74448290001600981,0.7795656998641789,1.5272031999193132,778540544
2,538,60,45901ce4e5beb6a5c30ca6e7dd63f69f3bef8cf9cd26bd9ad13c805a834d98a1,0.96666666666666667,0.97323232323232334,0.96825396825396826,0.99769790394790403,0.96633838383838389,0.79942070017568767,0.78809059993363917,1.5905919000506401,778540544
3,538,60,af1cd9f0c1c662e18e4827e01525e573ca7755e762858c9423f36c467c9ad727,0.90000000000000002,0.90221216691804929,0.87847222222222221,0.98174539580789577,0.89909502262443441,0.74881540006026626,0.79518199991434813,1.5471215001307428,778540544
4,538,60,f927bc45ad33595185b6ace11d1b1deb0fbbb43f2fe4239056b3b4c1097ef7a0,0.90000000000000002,0.85487845487845482,0.80952380952380942,0.96376976447731166,0.8955444555444555,0.73433839995414019,0.82264699996449053,1.5603677998296916,778540544
5,538,60,7b18387f37130eb297c904390f0a762788d3ec34d59820dff40e5126e2cddf49,0.90000000000000002,0.87769308943089441,0.88938492063492058,0.98182044850676931,0.90105691056910564,0.71758840000256896,0.78874940006062388,1.5091766000259668,778540544
6,538,60,7edb8fbd66273445117ecbf87b01106f796bcf571452e0335d2fef069155d4a4,0.90000000000000002,0.90587737127371282,0.92113095238095244,0.9797658283802152,0.89953929539295385,0.73701280006207526,0.82741919998079538,1.5676162000745535,778540544
7,538,60,cc05b052a3c49b11ffc913a2d2a548dd400265e1cb8088c37e5378eee7767aa6,0.90000000000000002,0.92228739002932558,0.92658730158730152,0.96819991351241352,0.9006598240469208,0.70098259998485446,0.84317270014435053,1.5472472000401467,772625920
8,539,59,b50979aea7b950e281ec0e4147d698a508f32c0f1314b39a2132117755234795,0.86440677966101698,0.82976190476190481,0.82488479262672809,0.9597162882392084,0.86483050847457632,0.73407800006680191,0.82414599996991456,1.5612667000386864,778541056
9,539,59,f1395a882a4f6c518e17eeac3d37500a94d855534d5b8966eaa8421c3162ff12,0.93220338983050843,0.91112408569714065,0.92016129032258054,0.99371439229124237,0.93348160646266332,0.71361480001360178,0.78648669994436204,1.5031202000100166,778541056
