feature_index,feature_name,modality,fold_00_coverage_count,fold_01_coverage_count,fold_02_coverage_count,fold_03_coverage_count,fold_04_coverage_count,fold_05_coverage_count,fold_06_coverage_count,fold_07_coverage_count,fold_08_coverage_count,fold_09_coverage_count,minimum_coverage_count_across_folds,maximum_coverage_count_across_folds,total_coverage_count_across_folds
0,ST115CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,1,1,1,1,1,1,1,1,1,1,10
1,ST121CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,1,1,1,1,1,1,1,1,1,1,10
2,ST31TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,1,1,1,1,1,1,1,1,1,1,10
3,ST39SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,1,1,1,1,1,1,1,1,1,1,10
4,ST102CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,1,1,1,1,1,1,1,1,1,1,10
5,ST39TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,1,1,1,1,1,1,1,1,1,1,10
6,ST32TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,2,2,2,2,2,2,2,2,2,2,2,2,20
7,ST74SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,1,1,1,1,1,1,1,1,1,1,10
8,ST127SV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,1,1,1,1,1,1,1,1,1,1,10
9,ST31CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,1,1,1,1,1,1,1,1,1,1,10
10,ST58CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,1,1,1,1,1,1,1,1,1,1,10
11,ST94SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,1,1,1,1,1,1,1,1,1,1,10
12,ST110TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,1,1,1,1,1,1,1,1,1,1,10
13,ST117SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,1,1,1,1,1,1,1,1,1,1,10
14,ST45TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,1,1,1,1,1,1,1,1,1,1,10
15,ST52CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,2,2,2,2,2,2,2,2,2,2,2,2,20
16,ST62CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,1,1,1,1,1,1,1,1,1,1,10
17,ST45CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,1,1,1,1,1,1,1,1,1,1,10
18,ST50SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,1,1,1,1,1,1,1,1,1,1,10
19,ST45SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,1,1,1,1,1,1,1,1,1,1,10
20,ST73CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,1,1,1,1,1,1,1,1,1,1,10
21,ST97CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,1,1,1,1,1,1,1,1,1,1,10
22,ST47TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,2,2,2,2,2,2,2,2,2,2,2,2,20
23,ST113TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,2,2,2,2,2,2,2,2,2,2,2,2,20
24,ST82CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,1,1,1,1,1,1,1,1,1,1,10
25,ST40TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,1,1,1,1,1,1,1,1,1,1,10
26,ST111CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,1,1,1,1,1,1,1,1,1,1,10
27,ST90TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,1,1,1,1,1,1,1,1,1,1,10
28,ST90CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,1,1,1,1,1,1,1,1,1,1,10
29,ST117TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,1,1,1,1,1,1,1,1,1,1,10
30,ST26SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,1,1,1,1,1,1,1,1,1,1,10
31,ST48CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,1,1,1,1,1,1,1,1,1,1,10
32,ST59SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,1,1,1,1,1,1,1,1,1,1,10
33,ST118SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,1,1,1,1,1,1,1,1,1,1,10
34,ST48SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,1,1,1,1,1,1,1,1,1,1,10
35,ST93CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,2,2,2,2,2,2,2,2,2,2,2,2,20
36,ST13TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,1,1,1,1,1,1,1,1,1,1,10
37,ST93TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,1,1,1,1,1,1,1,1,1,1,10
38,ST110CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,1,1,1,1,1,1,1,1,1,1,10
39,ST62SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,1,1,1,1,1,1,1,1,1,1,10
40,ST34SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,1,1,1,1,1,1,1,1,1,1,10
41,ST104SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,1,1,1,1,1,1,1,1,1,1,10
42,ST62TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,2,2,2,2,2,2,2,2,2,2,2,2,20
43,ST108SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,1,1,1,1,1,1,1,1,1,1,10
44,ST85SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,2,2,2,2,2,2,2,2,2,2,2,2,20
45,ST32SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,1,1,1,1,1,1,1,1,1,1,10
46,ST39CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,1,1,1,1,1,1,1,1,1,1,10
47,ST54SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,1,1,1,1,1,1,1,1,1,1,10
48,ST58TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,1,1,1,1,1,1,1,1,1,1,10
49,ST43TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,1,1,1,1,1,1,1,1,1,1,10
50,ST54TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,1,1,1,1,1,1,1,1,1,1,10
51,ST104CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,1,1,1,1,1,1,1,1,1,1,10
52,ST97TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,1,1,1,1,1,1,1,1,1,1,10
53,ST73SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,1,1,1,1,1,1,1,1,1,1,10
54,ST108CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,1,1,1,1,1,1,1,1,1,1,10
55,ST103TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,1,1,1,1,1,1,1,1,1,1,10
56,ST44TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,1,1,1,1,1,1,1,1,1,1,10
57,ST99CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,2,2,2,2,2,2,2,2,2,2,2,2,20
58,ST108TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,1,1,1,1,1,1,1,1,1,1,10
59,ST37SV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,1,1,1,1,1,1,1,1,1,1,10
60,ST88SV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,1,1,1,1,1,1,1,1,1,1,10
61,ST50CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,1,1,1,1,1,1,1,1,1,1,10
62,ST57SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,1,1,1,1,1,1,1,1,1,1,10
63,ST61SV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,1,1,1,1,1,1,1,1,1,1,10
64,ST84TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,1,1,1,1,1,1,1,1,1,1,10
65,ST72CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,2,2,2,2,2,2,2,2,2,2,2,2,20
66,ST10CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,1,1,1,1,1,1,1,1,1,1,10
67,ST56CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,1,1,1,1,1,1,1,1,1,1,10
68,ST38CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,2,2,2,2,2,2,2,2,2,2,2,2,20
69,ST107TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,1,1,1,1,1,1,1,1,1,1,10
70,ST84CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,1,1,1,1,1,1,1,1,1,1,10
71,ST84SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,1,1,1,1,1,1,1,1,1,1,10
72,ST47SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,1,1,1,1,1,1,1,1,1,1,10
73,ST29SV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,1,1,1,1,1,1,1,1,1,1,10
74,ST82SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,1,1,1,1,1,1,1,1,1,1,10
75,ST23SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,1,1,1,1,1,1,1,1,1,1,10
76,ST54CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,1,1,1,1,1,1,1,1,1,1,10
77,ST74CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,2,2,2,2,2,2,2,2,2,2,2,2,20
78,ST82TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,1,1,1,1,1,1,1,1,1,1,10
79,ST98SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,1,1,1,1,1,1,1,1,1,1,10
80,ST52TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,1,1,1,1,1,1,1,1,1,1,10
81,ST99TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,1,1,1,1,1,1,1,1,1,1,10
82,ST34TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,1,1,1,1,1,1,1,1,1,1,10
83,ST85CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,1,1,1,1,1,1,1,1,1,1,10
84,ST116CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,1,1,1,1,1,1,1,1,1,1,10
85,ST110SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,2,2,2,2,2,2,2,2,2,2,2,2,20
86,ST48TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,2,2,2,2,2,2,2,2,2,2,2,2,20
87,ST115SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,1,1,1,1,1,1,1,1,1,1,10
88,ST93SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,1,1,1,1,1,1,1,1,1,1,10
89,ST57TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,1,1,1,1,1,1,1,1,1,1,10
90,ST55CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,1,1,1,1,1,1,1,1,1,1,10
