feature_index,feature_name,modality,member_00,member_01,coverage_count
0,ST115CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1
1,ST121CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,1
2,ST31TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1
3,ST39SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1
4,ST102CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,1
5,ST39TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,1
6,ST32TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,2
7,ST74SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1
8,ST127SV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,1
9,ST31CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1
10,ST58CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1
11,ST94SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,1
12,ST110TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1
13,ST117SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1
14,ST45TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,1
15,ST52CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,2
16,ST62CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,1
17,ST45CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1
18,ST50SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,1
19,ST45SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,1
20,ST73CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1
21,ST97CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,1
22,ST47TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,2
23,ST113TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,2
24,ST82CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1
25,ST40TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,1
26,ST111CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,1
27,ST90TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1
28,ST90CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1
29,ST117TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,1
30,ST26SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1
31,ST48CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1
32,ST59SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,1
33,ST118SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1
34,ST48SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,1
