name,family,alpha,threshold,active_samples,correct,acc,macro_f1,bacc,macro_auc,weighted_f1,confusion_matrix,changed_predictions,repairs,damages
arithmetic_alpha_0.05,arithmetic,0.050000000000000003,,598,556,0.92976588628762546,0.91407782512713609,0.91407782512713609,0.97926464240450739,0.92976588628762546,"[[62,0,10],[0,198,11],[10,11,296]]",0,0,0
arithmetic_alpha_0.10,arithmetic,0.10000000000000001,,598,556,0.92976588628762546,0.91407782512713609,0.91407782512713609,0.98105982034795369,0.92976588628762546,"[[62,0,10],[0,198,11],[10,11,296]]",0,0,0
arithmetic_alpha_0.15,arithmetic,0.14999999999999999,,598,556,0.92976588628762546,0.91407782512713609,0.91407782512713609,0.98183801460065556,0.92976588628762546,"[[62,0,10],[0,198,11],[10,11,296]]",0,0,0
arithmetic_alpha_0.20,arithmetic,0.20000000000000001,,598,556,0.92976588628762546,0.91407782512713609,0.91407782512713609,0.98223265097635315,0.92976588628762546,"[[62,0,10],[0,198,11],[10,11,296]]",0,0,0
arithmetic_alpha_0.25,arithmetic,0.25,,598,556,0.92976588628762546,0.91407782512713609,0.91407782512713609,0.98249449607272654,0.92976588628762546,"[[62,0,10],[0,198,11],[10,11,296]]",0,0,0
arithmetic_alpha_0.30,arithmetic,0.29999999999999999,,598,556,0.92976588628762546,0.91407782512713609,0.91407782512713609,0.98271813750063541,0.92976588628762546,"[[62,0,10],[0,198,11],[10,11,296]]",0,0,0
arithmetic_alpha_0.40,arithmetic,0.40000000000000002,,598,555,0.92809364548494988,0.91274623345942663,0.91248292879539772,0.98293061972683249,0.92810414770914151,"[[62,0,10],[0,197,12],[10,11,296]]",1,0,1
log_probability_alpha_0.05,log_probability,0.050000000000000003,,598,556,0.92976588628762546,0.91407782512713609,0.91407782512713609,0.96344142837668756,0.92976588628762546,"[[62,0,10],[0,198,11],[10,11,296]]",0,0,0
log_probability_alpha_0.10,log_probability,0.10000000000000001,,598,556,0.92976588628762546,0.91407782512713609,0.91407782512713609,0.96768220848110398,0.92976588628762546,"[[62,0,10],[0,198,11],[10,11,296]]",0,0,0
log_probability_alpha_0.15,log_probability,0.14999999999999999,,598,556,0.92976588628762546,0.91407782512713609,0.91407782512713609,0.97056622665056791,0.92976588628762546,"[[62,0,10],[0,198,11],[10,11,296]]",0,0,0
log_probability_alpha_0.20,log_probability,0.20000000000000001,,598,556,0.92976588628762546,0.91407782512713609,0.91407782512713609,0.97336958228234216,0.92976588628762546,"[[62,0,10],[0,198,11],[10,11,296]]",0,0,0
log_probability_alpha_0.25,log_probability,0.25,,598,556,0.92976588628762546,0.91407782512713609,0.91407782512713609,0.97529088076286907,0.92976588628762546,"[[62,0,10],[0,198,11],[10,11,296]]",0,0,0
log_probability_alpha_0.30,log_probability,0.29999999999999999,,598,556,0.92976588628762546,0.91407782512713609,0.91407782512713609,0.97672276475559949,0.92976588628762546,"[[62,0,10],[0,198,11],[10,11,296]]",0,0,0
log_probability_alpha_0.40,log_probability,0.40000000000000002,,598,556,0.92976588628762546,0.91406291995914646,0.91353445350622842,0.9786980712732416,0.9297878814723487,"[[62,0,10],[0,197,12],[10,10,297]]",2,1,1
reliability_threshold_0.60_alpha_0.20,reliability_rule,0.20000000000000001,0.59999999999999998,5,556,0.92976588628762546,0.91407782512713609,0.91407782512713609,0.95638430195274926,0.92976588628762546,"[[62,0,10],[0,198,11],[10,11,296]]",0,0,0
reliability_threshold_0.60_alpha_0.30,reliability_rule,0.29999999999999999,0.59999999999999998,5,556,0.92976588628762546,0.91407782512713609,0.91407782512713609,0.95640301235685643,0.92976588628762546,"[[62,0,10],[0,198,11],[10,11,296]]",0,0,0
reliability_threshold_0.60_alpha_0.40,reliability_rule,0.40000000000000002,0.59999999999999998,5,555,0.92809364548494988,0.91274623345942663,0.91248292879539772,0.95643872431934651,0.92810414770914151,"[[62,0,10],[0,197,12],[10,11,296]]",1,0,1
reliability_threshold_0.70_alpha_0.20,reliability_rule,0.20000000000000001,0.69999999999999996,4,556,0.92976588628762546,0.91407782512713609,0.91407782512713609,0.95638430195274926,0.92976588628762546,"[[62,0,10],[0,198,11],[10,11,296]]",0,0,0
reliability_threshold_0.70_alpha_0.30,reliability_rule,0.29999999999999999,0.69999999999999996,4,556,0.92976588628762546,0.91407782512713609,0.91407782512713609,0.95640301235685643,0.92976588628762546,"[[62,0,10],[0,198,11],[10,11,296]]",0,0,0
reliability_threshold_0.70_alpha_0.40,reliability_rule,0.40000000000000002,0.69999999999999996,4,556,0.92976588628762546,0.91407782512713609,0.91407782512713609,0.956446566390738,0.92976588628762546,"[[62,0,10],[0,198,11],[10,11,296]]",0,0,0
