fold,correct,acc,macro_f1,bacc,macro_auc,weighted_f1
0,55,0.9166666666666666,0.8908594138102335,0.8844086021505376,0.9459201746117764,0.9150745156482861
1,57,0.95,0.9174603174603174,0.9315476190476191,0.9595897911051212,0.9512698412698413
2,57,0.95,0.9608711701734958,0.9632936507936508,0.9941748066748067,0.9501845699520117
3,54,0.9,0.8816993464052287,0.8467261904761904,0.9842573514448514,0.8984967320261438
4,56,0.9333333333333333,0.8813529846528412,0.8412698412698413,0.9244670478455855,0.9282726837963566
5,55,0.9166666666666666,0.8815346345197091,0.8625992063492064,0.9722819164151711,0.9157759280520474
6,54,0.9,0.9222873900293256,0.9265873015873015,0.9829314204314205,0.9006598240469208
7,54,0.9,0.9067600233391682,0.9265873015873015,0.9557201675421014,0.8999116445778111
8,54,0.9152542372881356,0.8806661411115492,0.9093701996927804,0.9491486159567654,0.9175340553035415
9,57,0.9661016949152542,0.9588141025641025,0.9416666666666668,0.9984149573808018,0.9658490873533245
