fold,correct,acc,macro_f1,bacc,macro_auc,weighted_f1
0,54,0.9,0.8845873233014135,0.8994495647721453,0.9763750750958758,0.9003853169174647
1,57,0.95,0.9174603174603174,0.9315476190476191,0.9652613993710691,0.9512698412698413
2,57,0.95,0.9608711701734958,0.9632936507936508,0.9895006613756614,0.9501845699520117
3,55,0.9166666666666666,0.9161500191350939,0.8943452380952381,0.978550766581427,0.9162246460007655
4,55,0.9166666666666666,0.8558831856975285,0.8308531746031745,0.8721595763164158,0.9127735307203818
5,55,0.9166666666666666,0.8815346345197091,0.8625992063492064,0.9722324212300627,0.9157759280520474
6,54,0.9,0.9231884057971014,0.9320436507936508,0.9742922008547009,0.9010144927536231
7,54,0.9,0.8946969696969697,0.9320436507936508,0.9752947633254236,0.9002651515151515
8,51,0.864406779661017,0.8403225806451613,0.8617511520737327,0.9515330924499006,0.8669491525423729
9,57,0.9661016949152542,0.9588141025641025,0.9416666666666668,0.9972139393391766,0.9658490873533245
