fold,correct,acc,macro_f1,bacc,macro_auc,weighted_f1
0,55,0.9166666666666666,0.8977763678660987,0.9153225806451614,0.9739341620250963,0.9167761865917399
1,57,0.95,0.9174603174603174,0.9315476190476191,0.9769134658580413,0.9512698412698413
2,57,0.95,0.9608711701734958,0.9632936507936508,0.9902097323972324,0.9501845699520117
3,55,0.9166666666666666,0.8951785786514582,0.8625992063492064,0.9796455400818608,0.915144804433119
4,56,0.9333333333333333,0.8813529846528412,0.8412698412698413,0.9492517767871541,0.9282726837963566
5,56,0.9333333333333333,0.9081699346405229,0.873015873015873,0.9704217973675521,0.9316830065359477
6,54,0.9,0.9222873900293256,0.9265873015873015,0.9777930402930403,0.9006598240469208
7,54,0.9,0.9067600233391682,0.9265873015873015,0.9589479735411338,0.8999116445778111
8,53,0.8983050847457628,0.8674603174603175,0.8934971838197644,0.9553152940249715,0.9008474576271187
9,57,0.9661016949152542,0.9588141025641025,0.9416666666666668,0.9980309328032289,0.9658490873533245
