fold,correct,acc,macro_f1,bacc,macro_auc,weighted_f1
0,54,0.9,0.8681818181818182,0.8736559139784946,0.9700471864682099,0.8990909090909092
1,57,0.95,0.9174603174603174,0.9315476190476191,0.9560590745732255,0.9512698412698413
2,57,0.95,0.9608711701734958,0.9632936507936508,0.9877804487179488,0.9501845699520117
3,55,0.9166666666666666,0.9161500191350939,0.8943452380952381,0.9749082209282681,0.9162246460007655
4,56,0.9333333333333333,0.8813529846528412,0.8412698412698413,0.9451458362130533,0.9282726837963566
5,56,0.9333333333333333,0.9081699346405229,0.873015873015873,0.9348702758195683,0.9316830065359477
6,54,0.9,0.9222873900293256,0.9265873015873015,0.9825593966218967,0.9006598240469208
7,54,0.9,0.8946969696969697,0.9320436507936508,0.9585000571144439,0.9002651515151515
8,54,0.9152542372881356,0.8806661411115492,0.9093701996927804,0.9553489803914254,0.9175340553035415
9,57,0.9661016949152542,0.9588141025641025,0.9416666666666668,0.9984149573808018,0.9658490873533245
