fold,correct,acc,macro_f1,bacc,macro_auc,weighted_f1
0,53,0.8833333333333333,0.8541727786579045,0.8115079365079364,0.9707740941750953,0.8799732050304133
1,55,0.9166666666666666,0.8236092265943012,0.7991071428571429,0.9735652515723271,0.9071687019448212
2,58,0.9666666666666667,0.9737103174603176,0.9737103174603176,0.9961398555148556,0.9666666666666667
3,55,0.9166666666666666,0.93238933537441,0.9260912698412698,0.9623079466829467,0.9153272101033295
4,49,0.8166666666666667,0.5831050228310503,0.6086309523809524,0.9389724367613518,0.7679680365296804
5,49,0.8166666666666667,0.5831050228310503,0.6086309523809524,0.9870500797682401,0.7679680365296804
6,53,0.8833333333333333,0.8940718662030137,0.9161706349206349,0.9771062271062271,0.8832927637025999
7,44,0.7333333333333333,0.7411477411477412,0.7514880952380952,0.9427146927146927,0.6905982905982905
8,51,0.864406779661017,0.8154761904761904,0.7931387608806965,0.947003053539556,0.8608757062146892
9,47,0.7966101694915254,0.5760971055088703,0.6177419354838709,0.9592029202086129,0.7394008450837961
