fold,correct,acc,macro_f1,bacc,macro_auc,weighted_f1
0,31,0.5166666666666667,0.2271062271062271,0.3333333333333333,0.6943612985395523,0.352014652014652
1,32,0.5333333333333333,0.2318840579710145,0.3333333333333333,0.5389438315440674,0.3710144927536232
2,31,0.5166666666666667,0.2271062271062271,0.3229166666666667,0.5361179864422788,0.36336996336996336
3,32,0.5333333333333333,0.2318840579710145,0.3333333333333333,0.6896537904792622,0.3710144927536232
4,32,0.5333333333333333,0.2318840579710145,0.3333333333333333,0.45138132962425415,0.3710144927536232
5,32,0.5333333333333333,0.2318840579710145,0.3333333333333333,0.5084415388071049,0.3710144927536232
6,32,0.5333333333333333,0.2318840579710145,0.3333333333333333,0.5577612409864767,0.3710144927536232
7,33,0.55,0.26473526473526476,0.34920634920634924,0.5011884843842391,0.40690975690975695
8,34,0.576271186440678,0.32088122605363983,0.38095238095238093,0.5710968902819498,0.46342294954217805
9,31,0.5254237288135594,0.22962962962962963,0.3333333333333333,0.5916857810121567,0.36195856873822974
