setting,correct,delta_correct,acc,macro_f1,bacc,macro_auc,weighted_f1
all_modalities,556,0,0.9297658862876255,0.9140778251271361,0.9140778251271361,0.9560490697782983,0.9297658862876255
without_MRI,534,-22,0.8929765886287625,0.8593825645232739,0.8348737247956906,0.9563565843439479,0.8910246241215544
without_PET,549,-7,0.9180602006688964,0.9004512813903262,0.8938093509112934,0.9564027777475554,0.9178188538901281
without_CSF,556,0,0.9297658862876255,0.9140778251271361,0.9140778251271361,0.956121636725873,0.9297658862876255
without_Risk,538,-18,0.8996655518394648,0.8786549761793839,0.8874507988736778,0.9508102954798079,0.8999382828826201
without_COG,324,-232,0.5418060200668896,0.2690604511796565,0.35111044587219253,0.5442376525813353,0.39570776894416404
without_ROI,546,-10,0.9130434782608695,0.892617103529575,0.8840419385621111,0.9573140392957568,0.9125786134942562
MRI_only,320,-236,0.5351170568561873,0.24396289069186264,0.33866139394945644,0.5222461505408571,0.38122295296052056
PET_only,317,-239,0.5301003344481605,0.2309653916211293,0.3333333333333333,0.5007623205739861,0.367304494032933
CSF_only,317,-239,0.5301003344481605,0.2309653916211293,0.3333333333333333,0.5030116801740334,0.367304494032933
Risk_only,317,-239,0.5301003344481605,0.2309653916211293,0.3333333333333333,0.504344369556098,0.367304494032933
COG_only,514,-42,0.8595317725752508,0.8164731545579899,0.7781545601568846,0.9552476045741107,0.8551190003127691
ROI_only,317,-239,0.5301003344481605,0.2309653916211293,0.3333333333333333,0.5207014418852739,0.367304494032933
