fold,correct,acc,macro_f1,bacc,macro_auc,weighted_f1
0,33,0.55,0.3655430711610487,0.4166666666666667,0.6899867656958869,0.41325842696629217
1,32,0.5333333333333333,0.2318840579710145,0.3333333333333333,0.4881728105489898,0.3710144927536232
2,31,0.5166666666666667,0.2271062271062271,0.3229166666666667,0.6209718118621421,0.36336996336996336
3,32,0.5333333333333333,0.2318840579710145,0.3333333333333333,0.7176891831962586,0.3710144927536232
4,32,0.5333333333333333,0.2318840579710145,0.3333333333333333,0.5493203621151734,0.3710144927536232
5,32,0.5333333333333333,0.2318840579710145,0.3333333333333333,0.5958444562512959,0.3710144927536232
6,32,0.5333333333333333,0.2318840579710145,0.3333333333333333,0.5082666558197219,0.3710144927536232
7,34,0.5666666666666667,0.29500805152979065,0.3650793650793651,0.5050936244922094,0.4401288244766505
8,34,0.576271186440678,0.32088122605363983,0.38095238095238093,0.6258227247191593,0.46342294954217805
9,32,0.5423728813559322,0.2639557695737471,0.35000000000000003,0.61857393081302,0.3983096190294819
