fold,correct,acc,macro_f1,bacc,macro_auc,weighted_f1
0,56,0.9333333333333333,0.9157240608853513,0.8951612903225806,0.9716499910813036,0.9317099567099568
1,57,0.95,0.9174603174603174,0.9315476190476191,0.9717683063791555,0.9512698412698413
2,58,0.9666666666666667,0.9737103174603176,0.9737103174603176,0.9965118793243793,0.9666666666666667
3,54,0.9,0.8816993464052287,0.8467261904761904,0.9674105103055575,0.8984967320261438
4,54,0.9,0.8548784548784548,0.8095238095238094,0.934913471617481,0.8955444555444555
5,52,0.8666666666666667,0.6962962962962962,0.6825396825396824,0.9889801520108122,0.8357407407407408
6,56,0.9333333333333333,0.9474206349206349,0.9474206349206349,0.983675468050468,0.9333333333333333
7,49,0.8166666666666667,0.8194789510006902,0.841765873015873,0.9482250966625966,0.8103925120772947
8,49,0.8305084745762712,0.7945736434108528,0.8084997439836149,0.9328651446648051,0.831493890421758
9,49,0.8305084745762712,0.6023809523809524,0.639247311827957,0.9551217757574495,0.7723970944309927
