fold,correct,acc,macro_f1,bacc,macro_auc,weighted_f1
0,52,0.8666666666666667,0.8416666666666667,0.8367895545314901,0.9651310805023264,0.8670833333333334
1,58,0.9666666666666667,0.9419642857142857,0.9419642857142857,0.9733476527403414,0.9666666666666667
2,57,0.95,0.9608711701734958,0.9632936507936508,0.9941748066748067,0.9501845699520117
3,56,0.9333333333333333,0.931934731934732,0.9419642857142857,0.9598309676434676,0.932975912975913
4,54,0.9,0.8214285714285713,0.7777777777777777,0.9406746511699341,0.8901190476190476
5,54,0.9,0.8214285714285713,0.7777777777777777,0.9801216537655216,0.8901190476190476
6,56,0.9333333333333333,0.9481915933528837,0.9528769841269842,0.9883146367521367,0.9337732160312805
7,53,0.8833333333333333,0.8817482736974261,0.9216269841269842,0.9411448854255458,0.8832509416195857
8,52,0.8813559322033898,0.8538628301143082,0.8827444956477214,0.9312274690033604,0.8831680952412766
9,57,0.9661016949152542,0.9588141025641025,0.9416666666666668,0.9922272382898569,0.9658490873533245
