fold,correct,acc,macro_f1,bacc,macro_auc,weighted_f1
0,53,0.8833333333333333,0.8551594865929597,0.8577828981054787,0.9705736215747339,0.8829584445291652
1,56,0.9333333333333333,0.8944916517590936,0.8839285714285715,0.9755797955974844,0.9316040548598689
2,57,0.95,0.9608711701734958,0.9632936507936508,0.9934307590557591,0.9501845699520117
3,56,0.9333333333333333,0.9291101055806937,0.9047619047619048,0.9594239672364674,0.9327300150829563
4,55,0.9166666666666666,0.8343819959938731,0.7936507936507936,0.9378743035877469,0.9061494049723107
5,54,0.9,0.8428104575163399,0.8149801587301587,0.978311029903011,0.8965522875816994
6,52,0.8666666666666667,0.8805034591981329,0.9002976190476191,0.9864195411070411,0.8664282737351005
7,53,0.8833333333333333,0.8813222772906341,0.9161706349206349,0.9498472788567128,0.8835168064557124
8,53,0.8983050847457628,0.8562770562770563,0.8617511520737328,0.9418448934577968,0.8973805855161788
9,57,0.9661016949152542,0.9588141025641025,0.9416666666666668,0.9917942694033776,0.9658490873533245
