fold,correct,acc,macro_f1,bacc,macro_auc,weighted_f1
0,52,0.8666666666666667,0.8417041479260371,0.8521505376344086,0.9576388804002819,0.8649675162418791
1,56,0.9333333333333333,0.9040760190047511,0.9211309523809524,0.9723792269488024,0.934118529632408
2,56,0.9333333333333333,0.9330165874802034,0.9528769841269842,0.9934307590557591,0.9333950154205216
3,56,0.9333333333333333,0.9291101055806937,0.9047619047619048,0.959444425246312,0.9327300150829563
4,53,0.8833333333333333,0.808584982066412,0.7728174603174603,0.9239874245033443,0.8731933356473447
5,52,0.8666666666666667,0.8228319783197833,0.8313492063492064,0.9664635024304835,0.8688346883468835
6,52,0.8666666666666667,0.8684343434343434,0.9057539682539683,0.9779202279202278,0.8665782828282829
7,51,0.85,0.8448744675065711,0.8953373015873015,0.9479444439644912,0.8503285597752198
8,54,0.9152542372881356,0.8806661411115492,0.9093701996927804,0.9474280200086652,0.9175340553035415
9,56,0.9491525423728814,0.933913308913309,0.9309139784946238,0.9944768229872594,0.9493387967964239
