fold,correct,acc,macro_f1,bacc,macro_auc,weighted_f1
0,55,0.9166666666666666,0.9026701119724375,0.8792882744495647,0.9668547770258004,0.9155284852959272
1,56,0.9333333333333333,0.8944916517590936,0.8839285714285715,0.9500367404258913,0.9316040548598689
2,58,0.9666666666666667,0.9592310298102982,0.9737103174603176,0.9957183365202232,0.967018970189702
3,56,0.9333333333333333,0.9297667102545152,0.910218253968254,0.992279711029711,0.9330926526048479
4,53,0.8833333333333333,0.8689681672936133,0.8363095238095237,0.9608080925887529,0.8821512356914615
5,54,0.9,0.8845873233014135,0.9320436507936508,0.9873871269802873,0.9016598267213863
6,55,0.9166666666666666,0.9337085678549094,0.9315476190476191,0.9626195563695563,0.9162914321450907
7,54,0.9,0.9067600233391682,0.9265873015873015,0.9461687966994571,0.8999116445778111
8,52,0.8813559322033898,0.8351851851851851,0.840757808499744,0.9749627376961841,0.8842749529190206
9,59,1.0,1.0,1.0,1.0,1.0
