fold,correct,acc,macro_f1,bacc,macro_auc,weighted_f1
0,49,0.8166666666666667,0.8022938111577075,0.804531490015361,0.8874050096589029,0.8165205235735162
1,48,0.8,0.7796397151235861,0.7842261904761904,0.8686461980978489,0.79980449657869
2,47,0.7833333333333333,0.7976495726495726,0.8263888888888888,0.8855634723854063,0.7800320512820512
3,50,0.8333333333333334,0.8525081991651758,0.8368055555555555,0.9168320105820106,0.8344364937388192
4,50,0.8333333333333334,0.8142282554047261,0.7941468253968255,0.8812206148585865,0.8318250377073907
5,49,0.8166666666666667,0.836299272866437,0.8154761904761904,0.9061628884742091,0.8159634519709146
6,54,0.9,0.9231884057971014,0.9320436507936508,0.9422949735449735,0.9010144927536231
7,51,0.85,0.8672076319973683,0.8581349206349206,0.92249599958916,0.8514675512180858
8,53,0.8983050847457628,0.8932539682539682,0.9252432155657963,0.95335733875632,0.8987288135593221
9,53,0.8983050847457628,0.9064084170253467,0.9236559139784947,0.9436370081531371,0.8981421588891862
