fold,correct,acc,macro_f1,bacc,macro_auc,weighted_f1
0,55,0.9166666666666666,0.8977763678660987,0.9153225806451614,0.9747119447828568,0.9167761865917399
1,57,0.95,0.9174603174603174,0.9315476190476191,0.9722947551662174,0.9512698412698413
2,57,0.95,0.9608711701734958,0.9632936507936508,0.9937678062678064,0.9501845699520117
3,56,0.9333333333333333,0.9081699346405229,0.873015873015873,0.9656768589551609,0.9316830065359477
4,56,0.9333333333333333,0.8813529846528412,0.8412698412698413,0.934265894613772,0.9282726837963566
5,56,0.9333333333333333,0.9081699346405229,0.873015873015873,0.9443395746461783,0.9316830065359477
6,54,0.9,0.9222873900293256,0.9265873015873015,0.9836754680504681,0.9006598240469208
7,54,0.9,0.8946969696969697,0.9320436507936508,0.9568857341557813,0.9002651515151515
8,53,0.8983050847457628,0.8674603174603175,0.8934971838197644,0.96166128721307,0.9008474576271187
9,57,0.9661016949152542,0.9588141025641025,0.9416666666666668,0.9947421069337578,0.9658490873533245
