fold,best_epoch,frozen_correct,refined_correct,repairs,damages,acc,macro_f1,bacc,macro_auc,weighted_f1,elapsed_seconds
0,1,55,55,0,0,0.9166666666666666,0.8977763678660987,0.9153225806451614,0.9657238965150534,0.9167761865917399,14.414129700046033
1,1,57,57,0,0,0.95,0.9174603174603174,0.9315476190476191,0.9718595575022463,0.9512698412698413,15.673906899988651
2,1,57,57,0,0,0.95,0.9608711701734958,0.9632936507936508,0.9926867114367114,0.9501845699520117,14.723824099870399
3,1,56,56,0,0,0.9333333333333333,0.9291101055806937,0.9047619047619048,0.9574998344161081,0.9327300150829563,13.555336900055408
4,1,56,56,0,0,0.9333333333333333,0.8813529846528412,0.8412698412698413,0.9401831789803489,0.9282726837963566,14.228379799984396
5,6,55,55,0,0,0.9166666666666666,0.8815346345197091,0.8625992063492064,0.9748578858248669,0.9157759280520474,13.541238199919462
6,205,55,55,0,0,0.9166666666666666,0.9347852836224929,0.9370039682539683,0.9875705891330891,0.916974283253353,14.323317999951541
7,1,54,54,0,0,0.9,0.8946969696969697,0.9320436507936508,0.9496151614370953,0.9002651515151515,14.261482500005513
8,1,54,54,0,0,0.9152542372881356,0.8806661411115492,0.9093701996927804,0.9323329000748357,0.9175340553035415,14.383910099975765
9,1,57,57,0,0,0.9661016949152542,0.9588141025641025,0.9416666666666668,0.9938066624499262,0.9658490873533245,15.029713500058278
