fold,best_epoch,acc,macro_f1,bacc,macro_auc,weighted_f1,correct,elapsed_seconds
0,170,0.9,0.8898198575617929,0.8685355862775217,0.9574476179384411,0.8991341991341991,54,56.22751019988209
1,114,0.95,0.9287559985234403,0.9315476190476191,0.9753988531995607,0.949796973052787,57,55.020849000196904
2,184,0.9333333333333333,0.9330165874802034,0.9528769841269842,0.9864749757143625,0.9333950154205216,56,53.12344200001098
3,122,0.9,0.9022121669180493,0.8784722222222222,0.9754491883029619,0.8990950226244344,54,52.826934500131756
4,167,0.95,0.9213889900093032,0.8888888888888888,0.9682878049623334,0.9481383731747764,57,53.715735000092536
5,177,0.9,0.8776930894308944,0.8893849206349206,0.9624890090691979,0.9010569105691056,54,54.54431949998252
6,138,0.9333333333333333,0.9481915933528837,0.9528769841269842,0.990686685999186,0.9337732160312805,56,53.264143200125545
7,98,0.9166666666666666,0.9026701119724375,0.9052579365079364,0.9754056325400665,0.9165866863541282,55,53.07273739995435
8,64,0.8813559322033898,0.8347645068956545,0.8458781362007168,0.9598422234245664,0.8832082986014634,52,52.55878069996834
9,74,0.9491525423728814,0.933913308913309,0.9309139784946238,0.9912746488173433,0.9493387967964239,56,53.16216699988581
